component,angle_deg,status,production_file,guard_count
wing_source_family,90,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/wing_model_source_family.m,1
wing_source_family,60,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/wing_model_source_family.m,1
wing_source_family,30,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/wing_model_source_family.m,1
wing_source_family,0,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/wing_model_source_family.m,1
rotor_tail_interference,90,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/rotor_tail_interference_heli.m,1
rotor_tail_interference,60,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/rotor_tail_interference_heli.m,1
rotor_tail_interference,30,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/rotor_tail_interference_heli.m,1
rotor_tail_interference,0,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/rotor_tail_interference_heli.m,1
hub_spinner,90,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/gtrs_spinner_steady.m,2
hub_spinner,60,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/gtrs_spinner_steady.m,2
hub_spinner,30,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/gtrs_spinner_steady.m,2
hub_spinner,0,SUPPORTED_STEADY_SYMMETRIC_SOURCE_SUBSET,model/gtrs_spinner_steady.m,2
