mode,case,rhsCalls,odeSeconds,modelSeconds,flapSeconds,rotorSeconds,bladeLoadCalls,flapSolveCalls,diagnosticCalls,diagnosticSeconds,diagnosticBladeCalls
dynamic,zero,362,2.076244,1.942352,1.504935,1.68321,18824,724,61,0.341749,3172
dynamic,ch1_0.2deg,494,3.020678,2.903713,2.21035,2.460104,25688,988,61,0.608947,3172
dynamic,ch1_0.1deg,482,2.831347,2.719866,2.086133,2.318413,25064,964,61,0.34269,3172
dynamic,ch2_0.2deg,452,2.653774,2.571758,1.980569,2.200349,23504,904,61,0.341151,3172
dynamic,ch2_0.1deg,434,2.359848,2.288529,1.756171,1.954554,22568,868,61,0.331443,3172
quasisteady,zero,362,14.079981,13.983868,12.617663,13.627674,177380,13032,61,2.36592,29890
quasisteady,ch1_0.2deg,476,18.263455,18.136306,16.296236,17.589662,231160,16944,61,2.333476,29538
quasisteady,ch1_0.1deg,470,18.07315,17.95452,16.140105,17.418602,230300,16920,61,2.36943,29890
quasisteady,ch2_0.2deg,452,17.410737,17.296436,15.547517,16.77794,221480,16272,61,2.355882,29890
quasisteady,ch2_0.1deg,434,16.935596,16.823885,15.113366,16.318606,212660,15624,61,2.387399,29890
