mode,rhsRow,stateColumn,forwardMinusBackwardAtH,forwardMinusBackwardAtHalfH,persistentMismatch
dynamic,1,1,4.18894796779543e-06,2.09447400354671e-06,0
dynamic,3,1,-0.00592095951166508,-0.00592285230231937,1
dynamic,5,1,6.74796351417088e-07,3.37398172006211e-07,0
dynamic,1,2,3.6542638028668e-06,1.82713200991144e-06,0
dynamic,3,2,-0.00592220422549872,-0.00592347465862986,1
dynamic,5,2,8.36626065113388e-08,4.18312869839632e-08,0
dynamic,1,3,2.04353243585049e-06,1.02176668012255e-06,0
dynamic,3,3,1.15719424987892e-05,5.7859651860781e-06,0
dynamic,5,3,5.2461232871279e-08,2.62305526174068e-08,0
quasisteady,1,1,4.18904373796934e-06,2.09452190373313e-06,0
quasisteady,3,1,-0.00593204655281928,-0.00592839581076987,1
quasisteady,5,1,6.74780812845357e-07,3.37390400451977e-07,0
quasisteady,1,2,3.65789360991433e-06,1.82894727299944e-06,0
quasisteady,3,2,-0.00593331263128979,-0.00592902885061145,1
quasisteady,5,2,8.31181354542098e-08,4.15589975207642e-08,0
quasisteady,1,3,2.04352614315264e-06,1.02176325526955e-06,0
quasisteady,3,3,6.24983294983394e-06,3.12491708126528e-06,0
quasisteady,5,3,5.24621767759557e-08,2.62310663453559e-08,0
