check,pass,value
pp_mean hover equilibrium,1,0
pp_mean apparent mass,1,114.719061333333
pp_mean independent nondimensional equation,1,-1.73472347597681e-18
pp_mean constant-RPM algebraic cancellation,1,0
pp_mean density-thrust scaling,1,0
pp_mean analytic fixed-thrust derivative,1,-31.0025590814824
pp_mean scalar exact step 1,1,2.49738008051281e-10
pp_mean scalar exact step 2,1,2.5741364595433e-10
cf_mean hover equilibrium,1,0
cf_mean apparent mass,1,179.285200608092
cf_mean independent nondimensional equation,1,-1.73472347597681e-18
cf_mean constant-RPM algebraic cancellation,1,0
cf_mean density-thrust scaling,1,0
cf_mean analytic fixed-thrust derivative,1,-19.8375798152652
cf_mean scalar exact step 1,1,3.02346592206959e-10
cf_mean scalar exact step 2,1,3.13342241042847e-10
reject mean_inflow_88327:OutsidePositiveBranch,1,0
reject mean_inflow_88327:OutsidePositiveBranch,1,0
reject mean_inflow_88327:ReverseThroughflow,1,0
reject mean_inflow_88327:UnknownModel,1,0
legacy RHS exact archive identity,1,0
legacy observation exact archive identity,1,0
pp_mean rigid-body static-limit identity,1,0
pp_mean same load observations,1,0
pp_mean source workpoint equilibrium,1,1.53662004466355e-07
pp_mean public service identity and workpoint,1,0
pp_mean ignores old assumed inflow tau,1,0
reject d03:OutsideNearAxialTestScope,1,0
pp_mean unchanged non-inflow A rows,0,0
pp_mean same BCD except inflow B,0,0
pp_mean derived local mass scaling,1,1.03580696020344e-07
pp_mean zero command no heave drift,1,1.59902992891148e-09
pp_mean 0.2deg heave linear agreement,1,0.00325416195727289
pp_mean 0.2deg difference-step agreement,1,1.43612814751551e-06
pp_mean 0.2deg actual inflow state,1,0
pp_mean 0.2deg near-axial scope,1,5.05321820571944e-06
pp_mean 0.1deg heave linear agreement,1,0.00162156874060077
pp_mean 0.1deg difference-step agreement,1,1.43389474225703e-06
pp_mean 0.1deg actual inflow state,1,0
pp_mean 0.1deg near-axial scope,1,1.06132642069392e-06
pp_mean -0.2deg heave linear agreement,1,0.00188551086906091
pp_mean -0.2deg difference-step agreement,1,1.42900282277985e-06
pp_mean -0.2deg actual inflow state,1,0
pp_mean -0.2deg near-axial scope,1,7.71346475482726e-06
pp_mean -0.1deg heave linear agreement,1,0.000950025466431234
pp_mean -0.1deg difference-step agreement,1,1.43033181617964e-06
pp_mean -0.1deg actual inflow state,1,0
pp_mean -0.1deg near-axial scope,1,2.12526284452011e-06
cf_mean rigid-body static-limit identity,1,0
cf_mean same load observations,1,0
cf_mean source workpoint equilibrium,1,9.83235696822099e-08
cf_mean public service identity and workpoint,1,0
cf_mean ignores old assumed inflow tau,1,0
reject d03:OutsideNearAxialTestScope,1,0
cf_mean unchanged non-inflow A rows,0,0
cf_mean same BCD except inflow B,0,0
cf_mean derived local mass scaling,1,6.62780870186452e-08
cf_mean zero command no heave drift,1,1.58644252223894e-09
cf_mean 0.2deg heave linear agreement,1,0.00322125996285907
cf_mean 0.2deg difference-step agreement,1,1.43281451443322e-06
cf_mean 0.2deg actual inflow state,1,0
cf_mean 0.2deg near-axial scope,1,5.04730530163938e-06
cf_mean 0.1deg heave linear agreement,1,0.00160506193154277
cf_mean 0.1deg difference-step agreement,1,1.43060621899706e-06
cf_mean 0.1deg actual inflow state,1,0
cf_mean 0.1deg near-axial scope,1,1.06015097902162e-06
cf_mean -0.2deg heave linear agreement,1,0.00187472831863961
cf_mean -0.2deg difference-step agreement,1,1.42577830399755e-06
cf_mean -0.2deg actual inflow state,1,0
cf_mean -0.2deg near-axial scope,1,7.70720136113819e-06
cf_mean -0.1deg heave linear agreement,1,0.000944582203855332
cf_mean -0.1deg difference-step agreement,1,1.42708788033996e-06
cf_mean -0.1deg actual inflow state,1,0
cf_mean -0.1deg near-axial scope,1,2.12337210265229e-06
pp_mean sign1 perturbation refinement,1,0.249541123702912
pp_mean sign2 perturbation refinement,1,0.251693789054661
cf_mean sign1 perturbation refinement,1,0.249520302114008
cf_mean sign2 perturbation refinement,1,0.251693910140825
