model,omega_rad_s,realG,imagG,gain_dB,phase_deg
dynamic,0.1,-13.2101949297134,-22.1823084543544,28.2384189252318,-120.775000198277
dynamic,0.105925372517729,-14.371657749685,-22.7733374755741,28.6043949756859,-122.254951817195
dynamic,0.112201845430196,-15.5935705616735,-23.3166373563664,28.958781617193,-123.773592900761
dynamic,0.118850222743702,-16.8720679927995,-23.8048116756027,29.3010086453419,-125.327760615613
dynamic,0.125892541179417,-18.202137716714,-24.2307833437122,29.6305489380491,-126.913835058119
dynamic,0.133352143216332,-19.5776476496322,-24.5880080223552,29.9469295000994,-128.527767015109
dynamic,0.141253754462275,-20.9914202039154,-24.870687202808,30.2497420157215,-130.165119485685
dynamic,0.149623565609443,-22.4353544867247,-25.0739689466473,30.5386524447144,-131.821122564257
dynamic,0.158489319246111,-23.9005938327121,-25.1941238735975,30.8134092057254,-133.490740496633
dynamic,0.167880401812256,-25.3777324134483,-25.2286847153014,31.0738495334148,-135.168748942171
dynamic,0.177827941003892,-26.8570512959299,-25.1765396824626,31.3199036738416,-136.849819781629
dynamic,0.18836490894898,-28.3287716575969,-25.0379728873295,31.5515966896749,-138.528610276114
dynamic,0.199526231496888,-29.7833112665298,-24.814648828648,31.7690477750987,-140.199853067046
dynamic,0.211348903983665,-31.2115300270753,-24.509542060202,31.9724671179159,-141.858443447023
dynamic,0.223872113856834,-32.6049514167987,-24.1268171460945,32.1621504804218,-143.499520534017
dynamic,0.237137370566166,-33.9559488547113,-23.6716673976866,32.338471788611,-145.118539422808
dynamic,0.251188643150958,-35.2578891369664,-23.1501233292138,32.5018741109824,-146.711332016828
dynamic,0.266072505979881,-36.5052286474011,-22.5688430552788,32.6528594670913,-148.274154991144
dynamic,0.281838293126445,-37.6935616628997,-21.9348969503604,32.7919779298872,-149.803724126765
dynamic,0.298538261891796,-38.8196233384056,-21.2555579224836,32.9198164765806,-151.297235017304
dynamic,0.316227766016838,-39.8812525798765,-20.5381068613555,33.0369880049614,-152.752370823346
dynamic,0.334965439157828,-40.8773218242951,-19.7896605118564,33.1441208723294,-154.167298294705
dynamic,0.354813389233575,-41.8076417002402,-19.0170265151071,33.2418492403813,-155.540653669785
dynamic,0.375837404288444,-42.6728487084657,-18.2265879334524,33.3308044298988,-156.871520287854
dynamic,0.398107170553497,-43.4742835856531,-17.4242174444078,33.4116074113487,-158.159399826887
dynamic,0.421696503428582,-44.2138670802453,-16.6152196807106,33.4848624871004,-159.40417903213
dynamic,0.446683592150963,-44.8939786644897,-15.8042989606071,33.551152161273,-160.606093659545
dynamic,0.47315125896148,-45.5173423984502,-14.9955488839759,33.6110331459012,-161.765691154158
dynamic,0.501187233627272,-46.0869228825724,-14.1924599122507,33.6650334173799,-162.883793344083
dynamic,0.530884444230988,-46.6058330788907,-13.3979410250404,33.7136502142484,-163.961460179927
dynamic,0.562341325190349,-47.0772548026538,-12.6143517668205,33.7573488548301,-164.999955304849
dynamic,0.59566214352901,-47.5043719091734,-11.8435413793881,33.7965622492063,-166.000714015681
dynamic,0.630957344480193,-47.8903156237452,-11.0868921872876,33.8316909825136,-166.96531397817
dynamic,0.668343917568615,-48.238121067806,-10.3453649062781,33.8631038537522,-167.895448893445
dynamic,0.707945784384138,-48.5506937950799,-9.61954403682485,33.8911387645249,-168.792905178703
dynamic,0.749894209332456,-48.83078503675,-8.90968195751368,33.9161038640381,-169.659541621306
dynamic,0.794328234724281,-49.080974334497,-8.21574073112956,33.9382788692125,-170.497271888747
dynamic,0.841395141645195,-49.3036582872686,-7.53743097206451,33.9579164910959,-171.308049723553
dynamic,0.891250938133746,-49.5010442287972,-6.87424739746872,33.9752439103976,-172.093856618043
dynamic,0.944060876285923,-49.6751477696561,-6.22550090022161,33.9904642555416,-172.856691745063
dynamic,1,-49.827793265963,-5.59034714593893,34.0037580459872,-173.598563913725
dynamic,1.05925372517729,-49.960616406568,-4.96781181654512,34.0152845716295,-174.3214853208
dynamic,1.12201845430196,-50.075068234859,-4.35681270729903,34.0251831858926,-175.027466875906
dynamic,1.18850222743702,-50.172420035957,-3.75617894001173,34.0335744957481,-175.718514890095
dynamic,1.25892541179417,-50.2537686228325,-3.16466758920759,34.0405614364375,-176.396628930932
dynamic,1.33352143216332,-50.3200416449897,-2.58097803590115,34.0462302222783,-177.063800661542
dynamic,1.41253754462275,-50.3720026210849,-2.00376437027647,34.0506511677293,-177.722013495233
dynamic,1.49623565609443,-50.410255463101,-1.43164616374093,34.0538793750041,-178.373242910602
dynamic,1.58489319246111,-50.4352483158428,-0.863217925637209,34.0559552860817,-179.019457283835
dynamic,1.67880401812256,-50.4472765831358,-0.297057552674124,34.0569050980924,-179.662619104976
dynamic,1.77827941003892,-50.4464850529093,0.268265928390172,34.056741041848,179.695313546999
dynamic,1.8836490894898,-50.4328690690818,0.834185030901046,34.0554615238567,179.052385389554
dynamic,1.99526231496888,-50.4062747305758,1.40212660233124,34.0530511325872,178.406642297929
dynamic,2.11348903983665,-50.3663981286041,1.97350445609893,34.0494805101276,177.756129756383
dynamic,2.23872113856834,-50.3127836642716,2.54971155590286,34.0447060907911,177.098891513864
dynamic,2.37137370566166,-50.2448215211759,3.13211146631818,34.038669708746,176.432968561197
dynamic,2.51188643150958,-50.1617444036669,3.72202878129568,34.0312980774608,175.756398551279
dynamic,2.66072505979881,-50.0626236922862,4.32073824001949,34.0225021447479,175.067215789803
dynamic,2.81838293126445,-49.9463652150676,4.92945223875379,34.0121763285359,174.36345193133
dynamic,2.98538261891796,-49.8117048881418,5.54930644977213,34.0001976402861,173.643137523698
dynamic,3.16227766016838,-49.6572045424319,6.18134326666363,33.9864247052728,172.904304552283
dynamic,3.34965439157828,-49.4812483258064,6.82649281228317,33.9706966918429,172.144990143736
dynamic,3.54813389233576,-49.282040151885,7.48555127500115,33.9528321653301,171.363241595786
dynamic,3.75837404288444,-49.0576027570213,8.15915638496498,33.9326278865613,170.557122904359
dynamic,3.98107170553497,-48.8057790239265,8.84775990959926,33.9098575798945,169.724722960514
dynamic,4.21696503428582,-48.5242363306581,9.55159714171371,33.8842707014546,168.864165585993
dynamic,4.46683592150963,-48.2104747821808,10.2706534796262,33.8555912446292,167.973621566154
dynamic,4.73151258961481,-47.8618402711885,11.0046283615744,33.8235166268543,167.051322820824
dynamic,5.01187233627272,-47.475543385712,11.7528970203586,33.7877167090699,166.095578825654
dynamic,5.30884444230988,-47.0486852209804,12.5144707708371,33.747833006725,165.104795357105
dynamic,5.62341325190349,-46.5782911472776,13.2879568319925,33.7034781585258,164.077495581906
dynamic,5.9566214352901,-46.0613535171774,14.0715190122702,33.6542357258559,163.012343445412
dynamic,6.30957344480193,-45.494884146191,14.8628409419899,33.5996604014715,161.908169232166
dynamic,6.68343917568615,-44.8759771520449,15.6590939036403,33.539278710165,160.763997075829
dynamic,7.07945784384138,-44.2018823728345,16.4569116661261,33.4725902859909,159.579074084999
dynamic,7.49894209332456,-43.4700890907053,17.2523750408122,33.3990698097356,158.352900627383
dynamic,7.94328234724282,-42.6784191603625,18.0410091058237,33.3181696859014,157.085261179243
dynamic,8.41395141645195,-41.8251278862439,18.8177961439045,33.2293235298224,155.776255002891
dynamic,8.91250938133746,-40.9090101287875,19.5772072570736,33.1319505218704,154.426325766369
dynamic,9.44060876285924,-39.9295081871144,20.3132553065445,33.0254606661886,153.036289072197
dynamic,10,-38.8868170618049,21.0195712322924,32.9092609652194,151.607356724463
quasisteady,0.1,-13.155219091133,-22.3422651313021,28.2752215433524,-120.489754526718
quasisteady,0.105925372517729,-14.3225498697846,-22.9510828519899,28.6444441224361,-121.966093257921
quasisteady,0.112201845430196,-15.5525180264801,-23.5129465105359,29.0022478269808,-123.482438937594
quasisteady,0.118850222743702,-16.8415130347755,-24.020221379404,29.3480517519649,-125.035793811805
quasisteady,0.125892541179417,-18.1847531655619,-24.4655353609843,29.681314799721,-126.622699223427
quasisteady,0.133352143216332,-19.5762998466311,-24.8419948246926,30.0015467794183,-128.239259496612
quasisteady,0.141253754462275,-21.0091192023447,-25.1434034298666,30.3083191462201,-129.881179563241
quasisteady,0.149623565609443,-22.4751926368109,-25.3644720050007,30.6012749194297,-131.543816152972
quasisteady,0.158489319246111,-23.9656748673605,-25.5010068138611,30.8801373172736,-133.222241590905
