caseIndex,mode,law,states,amplitude_deg,signalRMS,linearAbsoluteError,linearRelativeError,stepRelativeChange,peakUpAcceleration,peakAbsoluteAcceleration,rhsCalls,elapsed_s
1,coupled,pp_mean,7,0.2,0.179172428991269,0.000233908154383615,0.00130549189794717,8.74316186082446e-11,0.469461137426715,0.469461137426715,5462,0.454423
1,coupled,pp_mean,7,0.1,0.0895746922706231,5.86510832784731e-05,0.000654772925161456,8.74428651641318e-11,0.234693350152195,0.234693350152195,5072,0.570429
1,coupled,pp_mean,7,-0.2,0.179078573420922,0.000236721680307013,0.00132188723522273,8.74774417587982e-11,0.0436889144298657,0.469162389497851,5456,0.497856
2,coupled,cf_mean,7,0.2,0.178954959627278,0.00022694286382682,0.00126815632435943,8.78342898438361e-11,0.48604345632021,0.48604345632021,5270,0.378339
2,coupled,cf_mean,7,0.1,0.0894656910891394,5.69020146057623e-05,0.000636020511472581,8.78458636016867e-11,0.243002767989968,0.243002767989968,4922,0.348646
2,coupled,cf_mean,7,-0.2,0.1788589578323,0.000229630613045135,0.00128386420131352,8.78814345302852e-11,0.0436889144298657,0.485891468342321,5258,0.375291
3,algebraic_coning,pp_mean,3,0.2,0.175284550496747,0.000230590278999745,0.00131551969837766,8.76704869269336e-11,0.323701418684781,0.323701418684781,3656,0.439078
3,algebraic_coning,pp_mean,3,0.1,0.0876314804115282,5.78183636015047e-05,0.000659789876080862,8.76812865687755e-11,0.161850709342388,0.161850709342388,3644,0.234537
3,algebraic_coning,pp_mean,3,-0.2,0.17519652501001,0.000233349995456095,0.0013319327848698,8.77145359586355e-11,-0.134339107852281,0.323701418684786,3656,0.234319
4,algebraic_coning,cf_mean,3,0.2,0.17516800326818,0.000225451630680134,0.00128705943136755,8.84404931541345e-11,0.323701418684781,0.323701418684781,3626,0.281982
4,algebraic_coning,cf_mean,3,0.1,0.0875725860331696,5.65282189938554e-05,0.000645501309878464,8.84520218918457e-11,0.161850709342388,0.161850709342388,3614,0.236342
4,algebraic_coning,cf_mean,3,-0.2,0.175074956367234,0.000228122931494795,0.00130300150420308,8.84874965290142e-11,-0.133855389536147,0.323701418684786,3626,0.236426
5,quasisteady,pp_mean,1,0.2,0.175332559547802,0.000240176186059755,0.0013698322016127,1.70256987720554e-10,0.219602837916671,0.219602837916671,3608,0.12111
5,quasisteady,pp_mean,1,0.1,0.0876565596409546,6.02251419732456e-05,0.000687058016193319,1.70275867317956e-10,0.109703670118546,0.109703670118546,3602,0.079702
5,quasisteady,pp_mean,1,-0.2,0.175253234773259,0.00024310244446871,0.00138714954267882,1.70334051046562e-10,-0.135193774406493,0.218811909632828,3608,0.07071
