caseIndex,mode,law,output,RMSdifferenceFromCoupledPP,peakDifferenceFromCoupledPP
2,coupled,cf_mean,accelerationDown,0.00359369738956893,0.0169987324108539
2,coupled,cf_mean,aeroThrust1,6.74318853085928,46.6366808405764
2,coupled,cf_mean,hubThrust1,10.7810921687067,50.9961972325582
2,coupled,cf_mean,vi1,0.00418516441341853,0.0271180378272575
2,coupled,cf_mean,beta1,1.07104015701413e-05,5.11809807051539e-05
3,algebraic_coning,pp_mean,accelerationDown,0.0395941822817676,0.367390333114646
3,algebraic_coning,pp_mean,aeroThrust1,22.3308811244821,151.001067496269
3,algebraic_coning,pp_mean,hubThrust1,118.782546845303,1102.17099934394
3,algebraic_coning,pp_mean,vi1,0.00686045952412773,0.0522949555420418
3,algebraic_coning,pp_mean,beta1,0.000117277724931618,0.00108010938098115
4,algebraic_coning,cf_mean,accelerationDown,0.0393324988710933,0.367390333114646
4,algebraic_coning,cf_mean,aeroThrust1,24.0961634123883,198.5506576304
4,algebraic_coning,cf_mean,hubThrust1,117.99749661328,1102.17099934394
4,algebraic_coning,cf_mean,vi1,0.00587305965476232,0.0446561492722388
4,algebraic_coning,cf_mean,beta1,0.000116559232364078,0.00108010938098115
5,quasisteady,pp_mean,accelerationDown,0.0368821410756759,0.263291752346536
5,quasisteady,pp_mean,aeroThrust1,24.7669355940609,312.29574230433
5,quasisteady,pp_mean,hubThrust1,110.646423227028,789.875257039606
5,quasisteady,pp_mean,vi1,0.0157164471178207,0.181157165366642
5,quasisteady,pp_mean,beta1,0.000108914318319155,0.000765367933288692
