law,reduction,states,bandLow_rad_s,bandHigh_rad_s,maxGainDifference_dB,maxPhaseDifference_deg,unweightedComplexRelativeRMS
pp_mean,algebraic_coning,2,0.3,3,0.335154811449769,2.63123164668488,0.0240120515018109
pp_mean,algebraic_coning,2,3,10,2.84900863390011,18.6879879478489,0.201091286632565
pp_mean,algebraic_coning,2,10,30,5.17375680136695,125.147962821688,1.04016659653281
pp_mean,quasisteady,1,0.3,3,0.289181647652071,3.68998164333457,0.0397772692600987
pp_mean,quasisteady,1,3,10,4.22882627126354,6.05276824071647,0.20945618637794
pp_mean,quasisteady,1,10,30,7.59081324114289,116.952621644597,0.904147182319463
cf_mean,algebraic_coning,2,0.3,3,0.403471733103146,2.85997075992726,0.0262083791884441
cf_mean,algebraic_coning,2,3,10,2.70064507755692,22.5376123441878,0.225460619623047
cf_mean,algebraic_coning,2,10,30,4.09026614791573,120.802107062107,1.04614539930023
cf_mean,quasisteady,1,0.3,3,0.455608867399786,6.49814188211294,0.0695888666710195
cf_mean,quasisteady,1,3,10,4.80894848309956,9.91886237048978,0.264098002356727
cf_mean,quasisteady,1,10,30,6.98054334547762,114.770894536344,0.909834233784067
