time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
0,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.005,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.01,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.015,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.02,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.025,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.03,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.035,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.04,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.045,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.05,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.055,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.06,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.065,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.07,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.075,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.08,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.085,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.09,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.095,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.1,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.105,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.11,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.115,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.12,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.125,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.13,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.135,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.14,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.145,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.15,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.155,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.16,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.165,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.17,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.175,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.18,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.185,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.19,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.195,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.2,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.205,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.21,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.215,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.22,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.225,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.23,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.235,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.24,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.245,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.25,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.255,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.26,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.265,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.27,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.275,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.28,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.285,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.29,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.295,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.3,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.305,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.31,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.315,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.32,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.325,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.33,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.335,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.34,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.345,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.35,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.355,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.36,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.365,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.37,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.375,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.38,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.385,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.39,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.395,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.4,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.405,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.41,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.415,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
