law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,budgetFraction,selectedStates,qualified,boundOverFixedGainScale,actualErrorOverFixedGainScale,maxKappa,enclosureCalls,maxDepthUsed
pp_mean,0,common,accelerationUp,0.3,3,0.05,4,1,2.55855334192836e-31,5.52860387275765e-16,2.20225137542788e-33,12,0
pp_mean,0,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,2.85555977862165e-17,1.58862325797951e-16,2.20225137542788e-33,12,0
pp_mean,0,common,accelerationUp,3,10,0.05,4,1,1.97026929332314e-32,6.13648331896075e-16,1.30150899755345e-33,12,0
pp_mean,0,common,hubForceRightMinusLeft,3,10,0.05,4,1,1.65720558468789e-17,1.56998735183554e-16,1.30150899755345e-33,12,0
pp_mean,0,common,accelerationUp,10,30,0.05,4,1,7.43817782526974e-33,7.74791098663579e-16,3.5603504769704e-33,12,0
pp_mean,0,common,hubForceRightMinusLeft,10,30,0.05,4,1,5.51854506576232e-17,5.25629457363015e-16,3.5603504769704e-33,12,0
pp_mean,0,mixed,accelerationUp,0.3,3,0.05,4,1,3.67652935137928e-18,5.3771986592933e-16,2.20225137542788e-33,12,0
pp_mean,0,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0026660217329149,0.00157596199478202,2.20225137542788e-33,12,0
pp_mean,0,mixed,accelerationUp,3,10,0.05,4,1,2.37327715519417e-18,6.13274497970489e-16,1.30150899755345e-33,12,0
pp_mean,0,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.00823364519723397,0.00619125704882668,1.30150899755345e-33,12,0
pp_mean,0,mixed,accelerationUp,10,30,0.05,4,1,6.07210649962822e-18,6.23657149755836e-16,3.5603504769704e-33,12,0
pp_mean,0,mixed,hubForceRightMinusLeft,10,30,0.05,4,1,0.0454781581403585,0.0405496913774224,2.87833590271034e-33,15,1
pp_mean,0,differential,accelerationUp,0.3,3,0.05,4,1,4.04418228651715e-17,1.63664467946302e-16,2.20225137542788e-33,12,0
pp_mean,0,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0293262390620636,0.0173355819426023,2.20225137542788e-33,12,0
pp_mean,0,differential,accelerationUp,3,10,0.05,4,1,2.61060487071358e-17,1.53915778162804e-16,1.30150899755345e-33,12,0
pp_mean,0,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.0905700971695735,0.0681038275370935,1.30150899755345e-33,69,6
pp_mean,0,differential,accelerationUp,10,30,0.05,4,1,6.67931714959104e-17,3.86090983850626e-16,3.5603504769704e-33,12,0
pp_mean,0,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.553624061389504,0.44604660515165,3.5603504769704e-33,24,0
pp_mean,0.02,common,accelerationUp,0.3,3,0.05,4,1,0.0147821388824613,3.035061638176e-06,0.00012879548724166,12,0
pp_mean,0.02,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.00781925418785331,0.000229667587624525,0.00012879548724166,12,0
pp_mean,0.02,common,accelerationUp,3,10,0.05,4,1,0.00115851665565969,1.08363864496708e-05,7.88436436204847e-05,12,0
pp_mean,0.02,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.00481894752105358,0.000938549380476071,7.88436436204847e-05,12,0
pp_mean,0.02,common,accelerationUp,10,30,0.05,4,1,0.000388033651596157,5.30522873105709e-05,0.000159164013852766,12,0
pp_mean,0.02,common,hubForceRightMinusLeft,10,30,0.05,4,1,0.0139355234609307,0.00734385304707835,0.000159164013852766,12,0
pp_mean,0.02,mixed,accelerationUp,0.3,3,0.05,4,1,0.0140719942082459,2.35645933744201e-05,0.00012879548724166,12,0
pp_mean,0.02,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.00978934973181503,0.00178383728662617,0.00012879548724166,12,0
