time_s,accelerationUp,hubForceDifference,linearAccelerationDelta,linearForceDifferenceDelta
0,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.005,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.01,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.015,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.02,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.025,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.03,-3.25107045979974e-16,-3.63797880709171e-12,0,0
0.035,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.04,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.045,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.05,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.055,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.06,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.065,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.07,1.67301117947155e-15,-1.45519152283669e-11,0,0
0.075,1.86807540705953e-16,-7.27595761418343e-12,0,0
0.08,1.86807540705953e-16,-7.27595761418343e-12,0,0
0.085,-2.04249791744244e-15,-1.09139364212751e-11,0,0
0.09,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.095,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.1,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.105,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.11,-1.81131068474557e-15,-1.09139364212751e-11,0,0
0.115,4.17994773402823e-16,-3.63797880709171e-12,0,0
0.12,4.17994773402823e-16,-3.63797880709171e-12,0,0
0.125,2.64730023155121e-15,-1.09139364212751e-11,0,0
0.13,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.135,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.14,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.145,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.15,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.155,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.16,2.41611299885434e-15,-7.27595761418343e-12,0,0
0.165,6.9872212739188e-16,-7.27595761418343e-12,0,0
0.17,9.2990936008875e-16,-3.63797880709171e-12,0,0
0.175,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.18,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.185,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.19,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.195,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.2,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.205,4.17994773402823e-16,-3.63797880709171e-12,0,0
0.21,4.17994773402823e-16,-3.63797880709171e-12,0,0
0.215,4.17994773402823e-16,0,0,0
0.22,4.17994773402823e-16,0,0,0
0.225,2.64730023155121e-15,-1.09139364212751e-11,0,0
0.23,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.235,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.24,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.245,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.25,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.255,1.67301117947155e-15,-1.81898940354586e-11,0,0
0.26,1.67301117947155e-15,-1.81898940354586e-11,0,0
0.265,-3.25107045979974e-16,-2.5465851649642e-11,0,0
0.27,1.86807540705953e-16,-2.18278728425503e-11,0,0
0.275,-1.29939609805964e-15,-1.45519152283669e-11,0,0
0.28,-1.29939609805964e-15,-1.45519152283669e-11,0,0
0.285,-2.55441250412836e-15,-1.09139364212751e-11,0,0
0.29,-1.81131068474557e-15,-1.09139364212751e-11,0,0
0.295,-1.06820886536277e-15,-3.63797880709171e-12,0,0
0.3,-1.06820886536277e-15,-3.63797880709171e-12,0,0
0.305,-3.25107045979974e-16,3.63797880709171e-12,0,0
0.31,-3.25107045979974e-16,7.27595761418343e-12,0,0
0.315,1.16109659278562e-15,0,0,0
0.32,1.16109659278562e-15,0,0,0
0.325,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.33,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.335,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.34,2.41611299885434e-15,-1.45519152283669e-11,0,0
0.345,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.35,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.355,9.2990936008875e-16,-2.91038304567337e-11,0,0
0.36,1.86807540705953e-16,-2.18278728425503e-11,0,0
0.365,-1.29939609805964e-15,-1.45519152283669e-11,0,0
0.37,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.375,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.38,-1.81131068474557e-15,-1.45519152283669e-11,0,0
0.385,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.39,-3.25107045979974e-16,-7.27595761418343e-12,0,0
0.395,4.17994773402823e-16,0,0,0
0.4,4.17994773402823e-16,0,0,0
0.405,4.17994773402823e-16,0,0,0
0.41,4.17994773402823e-16,0,0,0
0.415,4.17994773402823e-16,0,0,0
0.42,4.17994773402823e-16,0,0,0
0.425,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.43,1.90419841216842e-15,-1.09139364212751e-11,0,0
0.435,1.16109659278562e-15,-1.81898940354586e-11,0,0
0.44,1.67301117947155e-15,-1.81898940354586e-11,0,0
0.445,-3.25107045979974e-16,-2.5465851649642e-11,0,0
0.45,-3.25107045979974e-16,-2.5465851649642e-11,0,0
0.455,-3.25107045979974e-16,-2.5465851649642e-11,0,0
0.46,1.86807540705953e-16,-2.18278728425503e-11,0,0
0.465,-1.29939609805964e-15,-1.45519152283669e-11,0,0
0.47,-1.06820886536277e-15,-1.45519152283669e-11,0,0
0.475,-1.06820886536277e-15,-3.63797880709171e-12,0,0
0.48,-1.06820886536277e-15,-3.63797880709171e-12,0,0
0.485,-3.25107045979974e-16,3.63797880709171e-12,0,0
