law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,fixedScaleQualified,relativeQualified,actualErrorOverFixedScale,actualMaxRelativeError,relativeEnclosure,selectedStatesForRelativeBudget,nearZeroIntervals,enclosureCalls,maxDepthUsed
pp_mean,0,common,accelerationUp,0.3,3,1,1,5.52860387275765e-16,8.29206413244063e-16,4.28499808634897e-30,4,0,1068,6
pp_mean,0,common,hubForceRightMinusLeft,0.3,3,1,0,1.58862325797951e-16,NaN,Inf,7,12,24,0
pp_mean,0,common,accelerationUp,3,10,1,1,6.13648331896075e-16,8.75383443521029e-16,3.80863858934289e-30,4,0,66,2
pp_mean,0,common,hubForceRightMinusLeft,3,10,1,0,1.56998735183554e-16,NaN,Inf,7,12,24,0
pp_mean,0,common,accelerationUp,10,30,1,1,7.74791098663579e-16,8.51974274601235e-16,3.609849067852e-32,4,0,12,0
pp_mean,0,common,hubForceRightMinusLeft,10,30,1,0,5.25629457363015e-16,NaN,Inf,7,12,24,0
pp_mean,0,mixed,accelerationUp,0.3,3,1,1,5.3771986592933e-16,9.1212705456847e-16,1.07261851748613e-16,4,0,1068,6
pp_mean,0,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00157596199478202,0.0254500800611347,0.0452654104981167,4,0,12,0
pp_mean,0,mixed,accelerationUp,3,10,1,1,6.13274497970489e-16,9.62335176921417e-16,7.16217914230108e-16,4,0,66,2
pp_mean,0,mixed,hubForceRightMinusLeft,3,10,1,0,0.00619125704882668,0.0944149032677045,0.154390712422699,7,0,88,7
pp_mean,0,mixed,accelerationUp,10,30,1,1,6.23657149755836e-16,8.20300376241415e-16,1.455679037818e-17,4,0,12,0
pp_mean,0,mixed,hubForceRightMinusLeft,10,30,1,0,0.0405496913774224,0.398301660711049,4.4800573787452,7,0,24,0
pp_mean,0,differential,accelerationUp,0.3,3,1,0,1.63664467946302e-16,NaN,Inf,7,12,24,0
pp_mean,0,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0173355819426023,0.0254500800611349,0.0452654104981161,4,0,12,0
pp_mean,0,differential,accelerationUp,3,10,1,0,1.53915778162804e-16,NaN,Inf,7,12,24,0
pp_mean,0,differential,hubForceRightMinusLeft,3,10,0,0,0.0681038275370935,0.0944149032677046,0.154390712422698,7,0,88,7
pp_mean,0,differential,accelerationUp,10,30,1,0,3.86090983850626e-16,NaN,Inf,7,12,24,0
pp_mean,0,differential,hubForceRightMinusLeft,10,30,0,0,0.44604660515165,0.398301660711052,4.48005737874522,7,0,24,0
pp_mean,0.02,common,accelerationUp,0.3,3,1,1,3.035061638176e-06,4.50099354312207e-06,0.045107826234709,4,0,1074,6
pp_mean,0.02,common,hubForceRightMinusLeft,0.3,3,1,1,0.000229667587624525,0.0250629703935719,0.0499538696219339,4,0,1677,6
pp_mean,0.02,common,accelerationUp,3,10,1,1,1.08363864496708e-05,1.51597554848617e-05,0.00942658378502744,4,0,72,2
pp_mean,0.02,common,hubForceRightMinusLeft,3,10,1,0,0.000938549380476071,0.0936458537216846,Inf,7,0,1978,12
pp_mean,0.02,common,accelerationUp,10,30,1,1,5.30522873105709e-05,4.82649441459608e-05,0.00222808021942089,4,0,12,0
pp_mean,0.02,common,hubForceRightMinusLeft,10,30,1,0,0.00734385304707835,0.398386400138749,Inf,7,0,24,0
pp_mean,0.02,mixed,accelerationUp,0.3,3,1,1,2.35645933744201e-05,3.83887438710388e-05,0.0415502700038716,4,0,1077,6
pp_mean,0.02,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00178383728662617,0.0254038483271954,0.049899017654414,4,0,204,3
pp_mean,0.02,mixed,accelerationUp,3,10,1,1,8.19626064838017e-05,0.000125953362337453,0.0212818832374507,4,0,72,2
pp_mean,0.02,mixed,hubForceRightMinusLeft,3,10,1,0,0.00704161368598352,0.0943354630871937,0.241215854002496,7,0,286,9
