method,omega_lo,omega_hi,max_relative_difference,mechanically_admissible,all_family_within_5pct
BSPA_RAW_1,0.1,3.0,0.05591287337455886,False,False
BSPA_RAW_1,3.0,10.0,0.1636236588227666,False,False
BT_RAW_1,0.1,3.0,1.102359149399566,False,False
BT_RAW_1,3.0,10.0,0.5592088930072646,False,False
BT_V_KINEMATIC_1,0.1,3.0,0.055717414217222386,True,False
BT_V_KINEMATIC_1,3.0,10.0,0.16246735969609596,True,False
FULL_PP_NOMINAL_2,0.1,3.0,0.02179678091042448,True,True
FULL_PP_NOMINAL_2,3.0,10.0,0.059191612613835896,True,False
PHYSICAL_QS_1,0.1,3.0,0.05605961429212594,True,False
PHYSICAL_QS_1,3.0,10.0,0.16205468936710057,True,False
