check,value,limit,passed
PP_mean/central/analytic_ss,1.52033231422421e-15,5e-11,1
PP_mean/central/required_map_identity_not_actuator,1.7687881579376e-15,5e-11,1
PP_mean/central/FULL_2/kinematics,0,1e-10,1
PP_mean/central/FULL_2/constant_gain_invariance,4.44305997370834e-16,1e-12,1
PP_mean/central/PHYSICAL_QS_1/kinematics,0,1e-10,1
PP_mean/central/PHYSICAL_QS_1/constant_gain_invariance,4.44955726205437e-16,1e-12,1
PP_mean/central/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
PP_mean/central/BT_V_KINEMATIC_1/constant_gain_invariance,3.35658906848386e-16,1e-12,1
PP_mean/left_secant/analytic_ss,1.42662558857639e-15,5e-11,1
PP_mean/left_secant/required_map_identity_not_actuator,1.34439696878992e-15,5e-11,1
PP_mean/left_secant/FULL_2/kinematics,0,1e-10,1
PP_mean/left_secant/FULL_2/constant_gain_invariance,2.28878339926112e-16,1e-12,1
PP_mean/left_secant/PHYSICAL_QS_1/kinematics,0,1e-10,1
PP_mean/left_secant/PHYSICAL_QS_1/constant_gain_invariance,4.45375683581982e-16,1e-12,1
PP_mean/left_secant/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
PP_mean/left_secant/BT_V_KINEMATIC_1/constant_gain_invariance,4.49477531325228e-16,1e-12,1
PP_mean/right_secant/analytic_ss,1.46646134293696e-15,5e-11,1
PP_mean/right_secant/required_map_identity_not_actuator,1.70821572438923e-15,5e-11,1
PP_mean/right_secant/FULL_2/kinematics,0,1e-10,1
PP_mean/right_secant/FULL_2/constant_gain_invariance,4.51828035988303e-16,1e-12,1
PP_mean/right_secant/PHYSICAL_QS_1/kinematics,0,1e-10,1
PP_mean/right_secant/PHYSICAL_QS_1/constant_gain_invariance,4.48458732151173e-16,1e-12,1
PP_mean/right_secant/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
PP_mean/right_secant/BT_V_KINEMATIC_1/constant_gain_invariance,2.28878339926112e-16,1e-12,1
PP_mean/central_no_unknown_root/analytic_ss,1.38405339967345e-15,5e-11,1
PP_mean/central_no_unknown_root/required_map_identity_not_actuator,1.45422010189102e-15,5e-11,1
PP_mean/central_no_unknown_root/FULL_2/kinematics,0,1e-10,1
PP_mean/central_no_unknown_root/FULL_2/constant_gain_invariance,4.4798876913077e-16,1e-12,1
PP_mean/central_no_unknown_root/PHYSICAL_QS_1/kinematics,0,1e-10,1
PP_mean/central_no_unknown_root/PHYSICAL_QS_1/constant_gain_invariance,3.36590001305118e-16,1e-12,1
PP_mean/central_no_unknown_root/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
PP_mean/central_no_unknown_root/BT_V_KINEMATIC_1/constant_gain_invariance,4.44305997370834e-16,1e-12,1
CF_TN3044/central/analytic_ss,1.22503540485477e-15,5e-11,1
CF_TN3044/central/required_map_identity_not_actuator,1.50899020432149e-15,5e-11,1
CF_TN3044/central/FULL_2/kinematics,0,1e-10,1
CF_TN3044/central/FULL_2/constant_gain_invariance,4.47545209131181e-16,1e-12,1
CF_TN3044/central/PHYSICAL_QS_1/kinematics,0,1e-10,1
CF_TN3044/central/PHYSICAL_QS_1/constant_gain_invariance,3.37661150723213e-16,1e-12,1
CF_TN3044/central/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
CF_TN3044/central/BT_V_KINEMATIC_1/constant_gain_invariance,4.46036504397568e-16,1e-12,1
CF_TN3044/left_secant/analytic_ss,1.26456220107458e-15,5e-11,1
CF_TN3044/left_secant/required_map_identity_not_actuator,1.25236113616174e-15,5e-11,1
CF_TN3044/left_secant/FULL_2/kinematics,0,1e-10,1
CF_TN3044/left_secant/FULL_2/constant_gain_invariance,4.44143416650368e-16,1e-12,1
CF_TN3044/left_secant/PHYSICAL_QS_1/kinematics,0,1e-10,1
CF_TN3044/left_secant/PHYSICAL_QS_1/constant_gain_invariance,4.47545209131181e-16,1e-12,1
CF_TN3044/left_secant/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
CF_TN3044/left_secant/BT_V_KINEMATIC_1/constant_gain_invariance,4.57756679852224e-16,1e-12,1
CF_TN3044/right_secant/analytic_ss,1.42226874517415e-15,5e-11,1
CF_TN3044/right_secant/required_map_identity_not_actuator,1.61700408075115e-15,5e-11,1
CF_TN3044/right_secant/FULL_2/kinematics,0,1e-10,1
CF_TN3044/right_secant/FULL_2/constant_gain_invariance,4.45442400901054e-16,1e-12,1
CF_TN3044/right_secant/PHYSICAL_QS_1/kinematics,0,1e-10,1
CF_TN3044/right_secant/PHYSICAL_QS_1/constant_gain_invariance,4.44955726205437e-16,1e-12,1
CF_TN3044/right_secant/BT_V_KINEMATIC_1/kinematics,0,1e-10,1
CF_TN3044/right_secant/BT_V_KINEMATIC_1/constant_gain_invariance,2.30659521185876e-16,1e-12,1
CF_TN3044/central_no_unknown_root/analytic_ss,1.15490617819053e-15,5e-11,1
CF_TN3044/central_no_unknown_root/required_map_identity_not_actuator,1.25438889533186e-15,5e-11,1
CF_TN3044/central_no_unknown_root/FULL_2/kinematics,0,1e-10,1
CF_TN3044/central_no_unknown_root/FULL_2/constant_gain_invariance,2.34797241589599e-16,1e-12,1
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/kinematics,0,1e-10,1
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/constant_gain_invariance,3.36590001305118e-16,1e-12,1
