check,passed,value
reject_source_extrapolation,True,
reject_zero_anchor,True,
reject_absolute_mismatched_input,True,
PP_mean/central/required_map_stable_proper,True,
PP_mean/central/129/analytic_ss,True,1.096584474932552e-15
PP_mean/central/129/map_identity_not_calibration,True,1.234026857968474e-15
PP_mean/central/129/FULL_2/kinematics,True,
PP_mean/central/129/FULL_2/a_equals_sv,True,9.639416899796053e-16
PP_mean/central/129/FULL_2/unit_gain_invariant,True,3.342213888644167e-16
PP_mean/central/129/PHYSICAL_QS_1/kinematics,True,
PP_mean/central/129/PHYSICAL_QS_1/a_equals_sv,True,4.708439295342822e-16
PP_mean/central/129/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
PP_mean/central/129/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central/129/BT_V_KINEMATIC_1/a_equals_sv,True,5.851830697301861e-16
PP_mean/central/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.494775313252277e-16
PP_mean/central/257/analytic_ss,True,1.096584474932552e-15
PP_mean/central/257/map_identity_not_calibration,True,1.234026857968474e-15
PP_mean/central/257/FULL_2/kinematics,True,
PP_mean/central/257/FULL_2/a_equals_sv,True,9.639416899796053e-16
PP_mean/central/257/FULL_2/unit_gain_invariant,True,4.443059973708341e-16
PP_mean/central/257/PHYSICAL_QS_1/kinematics,True,
PP_mean/central/257/PHYSICAL_QS_1/a_equals_sv,True,4.708439295342822e-16
PP_mean/central/257/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
PP_mean/central/257/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central/257/BT_V_KINEMATIC_1/a_equals_sv,True,5.851830697301861e-16
PP_mean/central/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.494775313252277e-16
PP_mean/central/513/analytic_ss,True,1.096584474932552e-15
PP_mean/central/513/map_identity_not_calibration,True,1.234026857968474e-15
PP_mean/central/513/FULL_2/kinematics,True,
PP_mean/central/513/FULL_2/a_equals_sv,True,1.2758121855066447e-15
PP_mean/central/513/FULL_2/unit_gain_invariant,True,4.443059973708341e-16
PP_mean/central/513/PHYSICAL_QS_1/kinematics,True,
PP_mean/central/513/PHYSICAL_QS_1/a_equals_sv,True,4.785567479472494e-16
PP_mean/central/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
PP_mean/central/513/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central/513/BT_V_KINEMATIC_1/a_equals_sv,True,7.212748900519769e-16
PP_mean/central/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.494775313252277e-16
PP_mean/left_secant/required_map_stable_proper,True,
PP_mean/left_secant/129/analytic_ss,True,1.1588150563537207e-15
PP_mean/left_secant/129/map_identity_not_calibration,True,1.29830902377375e-15
PP_mean/left_secant/129/FULL_2/kinematics,True,
PP_mean/left_secant/129/FULL_2/a_equals_sv,True,1.1140820898591435e-15
PP_mean/left_secant/129/FULL_2/unit_gain_invariant,True,2.2887833992611187e-16
PP_mean/left_secant/129/PHYSICAL_QS_1/kinematics,True,
