amplitude_deg,method,velocity_NRMSE,acceleration_NRMSE,velocity_peak_scaled_error,acceleration_peak_scaled_error,elapsed_seconds,force_balance_error_N,both_NRMSE_within_1pct
0.1,DIRECT_C81,0,0,0,0,4.910693,7.27595761418343e-12,1
0.1,OPERATING_TANGENT,5.71291972359763e-05,6.17717112451216e-05,6.53332536023889e-05,8.68245194934734e-05,0.057455,7.27595761418343e-12,1
0.1,CLASSICAL_LUT_COARSE,0.00015708843722169,0.000161036956085875,0.000222136778390669,0.000154730759454941,0.047802,7.27595761418343e-12,1
0.1,CLASSICAL_LUT_FINE,6.45234403696838e-05,7.36694184196186e-05,9.87963102728205e-05,8.12657361488644e-05,0.04728,7.27595761418343e-12,1
0.1,D11_SMALL_ANGLE,0.0260948726208845,0.026798945757877,0.0362367932326807,0.0206851631001658,0.029216,7.27595761418343e-12,0
0.3,DIRECT_C81,0,0,0,0,5.180812,7.27595761418343e-12,1
0.3,OPERATING_TANGENT,0.000145589928122025,0.000154789361028369,0.000195974182285125,0.000151973815031351,0.052137,7.27595761418343e-12,1
0.3,CLASSICAL_LUT_COARSE,7.0933968684816e-05,6.65826085076475e-05,9.37606489273307e-05,6.02312227045437e-05,0.046212,7.27595761418343e-12,1
0.3,CLASSICAL_LUT_FINE,2.02980071806991e-05,1.98178818824581e-05,2.60860766824318e-05,2.76318256681942e-05,0.04733,7.27595761418343e-12,1
0.3,D11_SMALL_ANGLE,0.0263311296409049,0.026902142490406,0.0363931472768502,0.0208224366142582,0.026618,7.27595761418343e-12,0
