method,repeat,query_count,seconds,checksum
DIRECT_C81,1,100,0.123286,-0.000894042109479778
DIRECT_C81,2,100,0.11677,-0.000894042109479778
DIRECT_C81,3,100,0.117766,-0.000894042109479778
DIRECT_C81,4,100,0.118706,-0.000894042109479778
DIRECT_C81,5,100,0.118656,-0.000894042109479778
OPERATING_TANGENT,1,100,0.001132,0.000190798623331393
OPERATING_TANGENT,2,100,0.001041,0.000190798623331393
OPERATING_TANGENT,3,100,0.00105,0.000190798623331393
OPERATING_TANGENT,4,100,0.000659,0.000190798623331393
OPERATING_TANGENT,5,100,0.000635,0.000190798623331393
CLASSICAL_LUT_COARSE,1,100,0.000858,-0.000895784990365583
CLASSICAL_LUT_COARSE,2,100,0.000783,-0.000895784990365583
CLASSICAL_LUT_COARSE,3,100,0.000813,-0.000895784990365583
CLASSICAL_LUT_COARSE,4,100,0.000809,-0.000895784990365583
CLASSICAL_LUT_COARSE,5,100,0.000822,-0.000895784990365583
CLASSICAL_LUT_FINE,1,100,0.000813,-0.000894518415060912
CLASSICAL_LUT_FINE,2,100,0.000842,-0.000894518415060912
CLASSICAL_LUT_FINE,3,100,0.000844,-0.000894518415060912
CLASSICAL_LUT_FINE,4,100,0.000858,-0.000894518415060912
CLASSICAL_LUT_FINE,5,100,0.000832,-0.000894518415060912
D11_SMALL_ANGLE,1,100,8.4e-05,0.000434869982468902
D11_SMALL_ANGLE,2,100,8.3e-05,0.000434869982468902
D11_SMALL_ANGLE,3,100,8.4e-05,0.000434869982468902
D11_SMALL_ANGLE,4,100,8e-05,0.000434869982468902
D11_SMALL_ANGLE,5,100,8e-05,0.000434869982468902
