horizon_s,method,overlapping_forecasts,RMSE_g,actual_horizon_min_s,actual_horizon_max_s
0.5,source_known,65,0.006214559116719402,0.530928081700182,0.5553314968111493
0.5,prefix_known,65,0.006290946350992939,0.530928081700182,0.5553314968111493
0.5,hold,65,0.01321151349954377,0.530928081700182,0.5553314968111493
0.5,static_increment,65,0.006632745560169776,0.530928081700182,0.5553314968111493
0.5,unknown_received_command_hold,65,0.013270324971992676,0.530928081700182,0.5553314968111493
2.0,source_known,65,0.0064653342212189395,2.001387645172983,2.091106083080991
2.0,prefix_known,65,0.008403591746553763,2.001387645172983,2.091106083080991
2.0,hold,65,0.03586174095874356,2.001387645172983,2.091106083080991
2.0,static_increment,65,0.011088131301653273,2.001387645172983,2.091106083080991
2.0,unknown_received_command_hold,65,0.03379585630348544,2.001387645172983,2.091106083080991
5.0,source_known,65,0.008002260967402166,5.005263481690605,5.068732868050667
5.0,prefix_known,65,0.008025533048078695,5.005263481690605,5.068732868050667
5.0,hold,65,0.05409255006800491,5.005263481690605,5.068732868050667
5.0,static_increment,65,0.021956270497623304,5.005263481690605,5.068732868050667
5.0,unknown_received_command_hold,65,0.04000225019275482,5.005263481690605,5.068732868050667
