check,value,tolerance,passed
MAT_CSV_0.1_DIRECT_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.1_DIRECT_a,9.8879238130678e-17,1e-12,True
MAT_CSV_0.1_DIRECT_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.1_DIRECT_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.1_DIRECT_z,9.746977530644685e-17,1e-12,True
MAT_CSV_0.1_LUT_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.1_LUT_a,9.367506770274758e-17,1e-12,True
MAT_CSV_0.1_LUT_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.1_LUT_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.1_LUT_z,9.367506770274758e-17,1e-12,True
MAT_CSV_0.1_SCHEDULED_RHS_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.1_SCHEDULED_RHS_a,9.324138683375338e-17,1e-12,True
MAT_CSV_0.1_SCHEDULED_RHS_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.1_SCHEDULED_RHS_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.1_SCHEDULED_RHS_z,9.302454639925628e-17,1e-12,True
MAT_CSV_0.3_DIRECT_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.3_DIRECT_a,4.996003610813204e-16,1e-12,True
MAT_CSV_0.3_DIRECT_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.3_DIRECT_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.3_DIRECT_z,4.996003610813204e-16,1e-12,True
MAT_CSV_0.3_LUT_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.3_LUT_a,4.996003610813204e-16,1e-12,True
MAT_CSV_0.3_LUT_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.3_LUT_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.3_LUT_z,4.996003610813204e-16,1e-12,True
MAT_CSV_0.3_SCHEDULED_RHS_t,4.440892098500626e-16,1e-12,True
MAT_CSV_0.3_SCHEDULED_RHS_a,4.996003610813204e-16,1e-12,True
MAT_CSV_0.3_SCHEDULED_RHS_CT,9.540979117872439e-17,1e-12,True
MAT_CSV_0.3_SCHEDULED_RHS_x,5.551115123125783e-17,1e-12,True
MAT_CSV_0.3_SCHEDULED_RHS_z,4.996003610813204e-16,1e-12,True
trace_rows,4806.0,expected 4806,True
trace_time_grid,4.440892098500626e-16,1e-12,True
0.1_DIRECT_finite,0.114458682893242,,True
0.1_DIRECT_initial_lambda_trim,1.6653345369377348e-16,0.02,True
0.1_DIRECT_initial_velocity_zero,0.0,1e-12,True
0.1_DIRECT_prepulse_accel_zero,9.78675647189675e-08,2e-07,True
0.1_DIRECT_postpulse_accel_finite,0.0148626210994163,,True
0.1_LUT_finite,0.114458682893242,,True
0.1_LUT_initial_lambda_trim,1.6653345369377348e-16,0.02,True
0.1_LUT_initial_velocity_zero,0.0,1e-12,True
0.1_LUT_prepulse_accel_zero,9.76465504010093e-08,2e-07,True
0.1_LUT_postpulse_accel_finite,0.0148692629099312,,True
