case_id,theta0_deg,amplitude_deg,duration_s,k,memory
1,7,-0.3,0.1,0.543248872420336,PP
2,7,-0.3,0.1,0.849333333333333,CF
3,7,-0.3,0.5,0.543248872420336,PP
4,7,-0.3,0.5,0.849333333333333,CF
5,7,-0.3,2,0.543248872420336,PP
6,7,-0.3,2,0.849333333333333,CF
7,7,-0.1,0.1,0.543248872420336,PP
8,7,-0.1,0.1,0.849333333333333,CF
9,7,-0.1,0.5,0.543248872420336,PP
10,7,-0.1,0.5,0.849333333333333,CF
11,7,-0.1,2,0.543248872420336,PP
12,7,-0.1,2,0.849333333333333,CF
13,7,0.1,0.1,0.543248872420336,PP
14,7,0.1,0.1,0.849333333333333,CF
15,7,0.1,0.5,0.543248872420336,PP
16,7,0.1,0.5,0.849333333333333,CF
17,7,0.1,2,0.543248872420336,PP
18,7,0.1,2,0.849333333333333,CF
19,7,0.3,0.1,0.543248872420336,PP
20,7,0.3,0.1,0.849333333333333,CF
21,7,0.3,0.5,0.543248872420336,PP
22,7,0.3,0.5,0.849333333333333,CF
23,7,0.3,2,0.543248872420336,PP
24,7,0.3,2,0.849333333333333,CF
25,8.5,-0.3,0.1,0.543248872420336,PP
26,8.5,-0.3,0.1,0.849333333333333,CF
27,8.5,-0.3,0.5,0.543248872420336,PP
28,8.5,-0.3,0.5,0.849333333333333,CF
29,8.5,-0.3,2,0.543248872420336,PP
30,8.5,-0.3,2,0.849333333333333,CF
31,8.5,-0.1,0.1,0.543248872420336,PP
32,8.5,-0.1,0.1,0.849333333333333,CF
33,8.5,-0.1,0.5,0.543248872420336,PP
34,8.5,-0.1,0.5,0.849333333333333,CF
35,8.5,-0.1,2,0.543248872420336,PP
36,8.5,-0.1,2,0.849333333333333,CF
37,8.5,0.1,0.1,0.543248872420336,PP
38,8.5,0.1,0.1,0.849333333333333,CF
39,8.5,0.1,0.5,0.543248872420336,PP
40,8.5,0.1,0.5,0.849333333333333,CF
41,8.5,0.1,2,0.543248872420336,PP
42,8.5,0.1,2,0.849333333333333,CF
43,8.5,0.3,0.1,0.543248872420336,PP
44,8.5,0.3,0.1,0.849333333333333,CF
45,8.5,0.3,0.5,0.543248872420336,PP
46,8.5,0.3,0.5,0.849333333333333,CF
47,8.5,0.3,2,0.543248872420336,PP
48,8.5,0.3,2,0.849333333333333,CF
49,10,-0.3,0.1,0.543248872420336,PP
50,10,-0.3,0.1,0.849333333333333,CF
51,10,-0.3,0.5,0.543248872420336,PP
52,10,-0.3,0.5,0.849333333333333,CF
53,10,-0.3,2,0.543248872420336,PP
54,10,-0.3,2,0.849333333333333,CF
55,10,-0.1,0.1,0.543248872420336,PP
56,10,-0.1,0.1,0.849333333333333,CF
57,10,-0.1,0.5,0.543248872420336,PP
58,10,-0.1,0.5,0.849333333333333,CF
59,10,-0.1,2,0.543248872420336,PP
60,10,-0.1,2,0.849333333333333,CF
61,10,0.1,0.1,0.543248872420336,PP
62,10,0.1,0.1,0.849333333333333,CF
63,10,0.1,0.5,0.543248872420336,PP
64,10,0.1,0.5,0.849333333333333,CF
65,10,0.1,2,0.543248872420336,PP
66,10,0.1,2,0.849333333333333,CF
67,10,0.3,0.1,0.543248872420336,PP
68,10,0.3,0.1,0.849333333333333,CF
69,10,0.3,0.5,0.543248872420336,PP
70,10,0.3,0.5,0.849333333333333,CF
71,10,0.3,2,0.543248872420336,PP
72,10,0.3,2,0.849333333333333,CF
