source,theta_report_deg,offset_deg,derivative_step,S,raw_B,raw_B_minus_S_relative,b
OFF,7,-1,1e-05,0.010104,0.00171825508653807,-0.82994308328008,0.1306002292573
OFF,7,-1,5e-06,0.010104,0.00171825508653807,-0.82994308328008,0.130600229250816
OFF,7,0,1e-05,0.010104,0.0034228095826551,-0.661242123648545,0.126202134929899
OFF,7,0,5e-06,0.010104,0.0034228095826551,-0.661242123648545,0.126202009476323
OFF,7,1,1e-05,0.010104,0.00509287795558801,-0.495954279929927,0.119482541686543
OFF,7,1,5e-06,0.010104,0.00509287795558801,-0.495954279929927,0.119482541680645
OFF,8.5,-1,1e-05,0.0115432644584667,0.00365084285391825,-0.683725269653641,0.127191908604811
OFF,8.5,-1,5e-06,0.0115432644584667,0.00365084285391825,-0.683725269653641,0.127191912129444
OFF,8.5,0,1e-05,0.0115432644584667,0.00533160471939279,-0.538119850015027,0.120174459955838
OFF,8.5,0,5e-06,0.0115432644584667,0.00533160471939279,-0.538119850015027,0.120133376170159
OFF,8.5,1,1e-05,0.0115432644584667,0.00697030940897457,-0.396157869027938,0.116424852772629
OFF,8.5,1,5e-06,0.0115432644584667,0.00697030940897457,-0.396157869027938,0.116424839582442
OFF,10,-1,1e-05,0.013089,0.0055659867469182,-0.574758442438827,0.121365890045624
OFF,10,-1,5e-06,0.013089,0.0055659867469182,-0.574758442438827,0.121365890039856
OFF,10,0,1e-05,0.013089,0.00721131983971294,-0.449054943867909,0.116868023563492
OFF,10,0,5e-06,0.013089,0.00721131983971294,-0.449054943867909,0.116869982995024
OFF,10,1,1e-05,0.013089,0.00883711270936401,-0.324844318942317,0.114097083028872
OFF,10,1,5e-06,0.013089,0.00883711270936401,-0.324844318942317,0.114097083023582
V4,7,-1,1e-05,0.010104,0.00221309504967973,-0.780968423428372,0.139802520919487
V4,7,-1,5e-06,0.010104,0.00221309504967973,-0.780968423428372,0.139802520912353
V4,7,0,1e-05,0.010104,0.00402164020342188,-0.601975435132434,0.135795294382108
V4,7,0,5e-06,0.010104,0.00402164020342188,-0.601975435132434,0.13579514659464
V4,7,1,1e-05,0.010104,0.0058065875067297,-0.425317942722714,0.129140649986637
V4,7,1,5e-06,0.010104,0.0058065875067297,-0.425317942722714,0.129140649979785
V4,8.5,-1,1e-05,0.0115432644584667,0.00425781705415405,-0.631142726611356,0.13716272923292
V4,8.5,-1,5e-06,0.0115432644584667,0.00425781705415405,-0.631142726611356,0.13716273379611
V4,8.5,0,1e-05,0.0115432644584667,0.0060582585767278,-0.475169385703172,0.130212116438658
V4,8.5,0,5e-06,0.0115432644584667,0.0060582585767278,-0.475169385703172,0.130165789537662
V4,8.5,1,1e-05,0.0115432644584667,0.00783011322231813,-0.321672543283459,0.127228514236986
V4,8.5,1,5e-06,0.0115432644584667,0.00783011322231813,-0.321672543283459,0.127228492773773
V4,10,-1,1e-05,0.013089,0.00630571941743828,-0.518242843804853,0.131851303186974
V4,10,-1,5e-06,0.013089,0.00630571941743828,-0.518242843804853,0.131851303179949
V4,10,0,1e-05,0.013089,0.00809001219417802,-0.381922821133928,0.128095821381666
V4,10,0,5e-06,0.013089,0.00809001219417802,-0.381922821133928,0.128097966014575
V4,10,1,1e-05,0.013089,0.00986747190419855,-0.246124844969169,0.125101796753183
V4,10,1,5e-06,0.013089,0.00986747190419855,-0.246124844969169,0.125101796747198
LEGACY_N1,7,-1,1e-05,0.010104,0.00221040291678356,-0.781234865718175,0.138923123539701
LEGACY_N1,7,-1,5e-06,0.010104,0.00221040291678356,-0.781234865718175,0.138923123532524
LEGACY_N1,7,0,1e-05,0.010104,0.00401648914107511,-0.602485239402701,0.134913021749812
LEGACY_N1,7,0,5e-06,0.010104,0.00401648914107511,-0.602485239402701,0.134912873962431
LEGACY_N1,7,1,1e-05,0.010104,0.00580160914072134,-0.425810655114673,0.128310881276081
LEGACY_N1,7,1,5e-06,0.010104,0.00580160914072134,-0.425810655114673,0.128310881269446
LEGACY_N1,8.5,-1,1e-05,0.0115432644584667,0.0042524978797784,-0.631603529913125,0.13624438524552
LEGACY_N1,8.5,-1,5e-06,0.0115432644584667,0.0042524978797784,-0.631603529913125,0.136244389808797
LEGACY_N1,8.5,0,1e-05,0.0115432644584667,0.00605288708358682,-0.475634721411307,0.129311489376884
LEGACY_N1,8.5,0,5e-06,0.0115432644584667,0.00605288708358682,-0.475634721411307,0.129265162476105
LEGACY_N1,8.5,1,1e-05,0.0115432644584667,0.00782279776758192,-0.322306285563429,0.126116884875075
LEGACY_N1,8.5,1,5e-06,0.0115432644584667,0.00782279776758192,-0.322306285563429,0.126116863411775
LEGACY_N1,10,-1,1e-05,0.013089,0.00630002839080053,-0.518677638413895,0.130905532625758
LEGACY_N1,10,-1,5e-06,0.013089,0.00630002839080053,-0.518677638413895,0.130905532619036
LEGACY_N1,10,0,1e-05,0.013089,0.00808183277866877,-0.382547728728797,0.145112399243912
LEGACY_N1,10,0,5e-06,0.013089,0.00808183277866877,-0.382547728728797,0.126887098747877
LEGACY_N1,10,1,1e-05,0.013089,0.00986702259882932,-0.246159171913108,0.125056205490907
LEGACY_N1,10,1,5e-06,0.013089,0.00986702259882932,-0.246159171913108,0.125056205484662
