source,theta_report_deg,offset_deg,memory,omega_rad_s,G_real_CT_per_rad,G_imag_CT_per_rad,static_slope_CT_per_rad
OFF,7,-1,PP,0.1,0.053080650556857,5.19612325558934e-05,0.0530805398248293
OFF,7,-1,PP,0.105925372517729,0.053080664068139,5.50400986502987e-05,0.0530805398248293
OFF,7,-1,PP,0.112201845430196,0.053080679228029,5.83013932809696e-05,0.0530805398248293
OFF,7,-1,PP,0.118850222743702,0.0530806962376828,6.17559249345452e-05,0.0530805398248293
OFF,7,-1,PP,0.125892541179417,0.0530807153228001,6.54151423364838e-05,0.0530805398248293
OFF,7,-1,PP,0.133352143216332,0.0530807367366183,6.92911723490926e-05,0.0530805398248293
OFF,7,-1,PP,0.141253754462275,0.0530807607632727,7.33968601078997e-05,0.0530805398248293
OFF,7,-1,PP,0.149623565609443,0.053080787721566,7.77458115276289e-05,0.0530805398248293
OFF,7,-1,PP,0.158489319246111,0.0530808179691976,8.2352438316561e-05,0.0530805398248293
OFF,7,-1,PP,0.167880401812256,0.0530808519075091,8.72320056459803e-05,0.0530805398248293
OFF,7,-1,PP,0.177827941003892,0.0530808899868084,9.24006826297329e-05,0.0530805398248293
OFF,7,-1,PP,0.18836490894898,0.0530809327123434,9.78755957776792e-05,0.0530805398248293
OFF,7,-1,PP,0.199526231496888,0.0530809806510039,0.000103674885596009,0.0530805398248293
OFF,7,-1,PP,0.211348903983665,0.0530810344388412,0.000109817766517034,0.0530805398248293
OFF,7,-1,PP,0.223872113856834,0.0530810947895048,0.00011632459035115,0.0530805398248293
OFF,7,-1,PP,0.237137370566166,0.0530811625037074,0.000123216913464242,0.0530805398248293
OFF,7,-1,PP,0.251188643150958,0.0530812384798446,0.000130517567894801,0.0530805398248293
OFF,7,-1,PP,0.266072505979881,0.053081323725909,0.000138250736636498,0.0530805398248293
OFF,7,-1,PP,0.281838293126445,0.0530814193728567,0.000146442033323929,0.0530805398248293
OFF,7,-1,PP,0.298538261891796,0.0530815266896038,0.000155118586571537,0.0530805398248293
OFF,7,-1,PP,0.316227766016838,0.05308164709985,0.000164309129228567,0.0530805398248293
OFF,7,-1,PP,0.334965439157828,0.0530817822009524,0.000174044092825989,0.0530805398248293
OFF,7,-1,PP,0.354813389233576,0.0530819337851001,0.000184355707504837,0.0530805398248293
OFF,7,-1,PP,0.375837404288444,0.0530821038630675,0.00019527810772909,0.0530805398248293
