theta0_deg,memory,time_s,V4_CT,OFF_CT,V4_non_eq_CT,OFF_non_eq_CT
7,PP,0,0.010104,0.010104,0,0
7,PP,0.002,0.010104,0.010104,0,0
7,PP,0.004,0.010104,0.010104,0,0
7,PP,0.006,0.010104,0.010104,0,0
7,PP,0.008,0.010104,0.010104,0,0
7,PP,0.01,0.010104,0.010104,0,0
7,PP,0.012,0.010104,0.010104,0,0
7,PP,0.014,0.010104,0.010104,0,0
7,PP,0.016,0.010104,0.010104,0,0
7,PP,0.018,0.010104,0.010104,0,0
7,PP,0.02,0.010104,0.010104,0,0
7,PP,0.022,0.010104,0.010104,0,0
7,PP,0.024,0.010104,0.010104,0,0
7,PP,0.026,0.010104,0.010104,0,0
7,PP,0.028,0.010104,0.010104,0,0
7,PP,0.03,0.010104,0.010104,0,0
7,PP,0.032,0.010104,0.010104,0,0
7,PP,0.034,0.010104,0.010104,0,0
7,PP,0.036,0.010104,0.010104,0,0
7,PP,0.038,0.010104,0.010104,0,0
7,PP,0.04,0.010104,0.010104,0,0
7,PP,0.042,0.010104,0.010104,0,0
7,PP,0.044,0.010104,0.010104,0,0
7,PP,0.046,0.010104,0.010104,0,0
7,PP,0.048,0.010104,0.010104,0,0
7,PP,0.05,0.010104,0.010104,0,0
7,PP,0.052,0.010104,0.010104,0,0
7,PP,0.054,0.010104,0.010104,0,0
7,PP,0.056,0.010104,0.010104,0,0
7,PP,0.058,0.010104,0.010104,0,0
7,PP,0.06,0.010104,0.010104,0,0
7,PP,0.062,0.010104,0.010104,0,0
7,PP,0.064,0.010104,0.010104,0,0
7,PP,0.066,0.010104,0.010104,0,0
7,PP,0.068,0.010104,0.010104,0,0
7,PP,0.07,0.010104,0.010104,0,0
7,PP,0.072,0.010104,0.010104,0,0
7,PP,0.074,0.010104,0.010104,0,0
7,PP,0.076,0.010104,0.010104,0,0
7,PP,0.078,0.010104,0.010104,0,0
7,PP,0.08,0.010104,0.010104,0,0
7,PP,0.082,0.010104,0.010104,0,0
7,PP,0.084,0.010104,0.010104,0,0
7,PP,0.086,0.010104,0.010104,0,0
7,PP,0.088,0.010104,0.010104,0,0
7,PP,0.09,0.010104,0.010104,0,0
7,PP,0.092,0.010104,0.010104,0,0
7,PP,0.094,0.010104,0.010104,0,0
7,PP,0.096,0.010104,0.010104,0,0
7,PP,0.098,0.010104,0.010104,0,0
7,PP,0.1,0.010104,0.010104,0,0
7,PP,0.102,0.010104,0.010104,0,0
7,PP,0.104,0.010104,0.010104,0,0
7,PP,0.106,0.010104,0.010104,0,0
7,PP,0.108,0.010104,0.010104,0,0
7,PP,0.11,0.010104,0.010104,0,0
7,PP,0.112,0.010104,0.010104,0,0
7,PP,0.114,0.010104,0.010104,0,0
7,PP,0.116,0.010104,0.010104,0,0
7,PP,0.118,0.010104,0.010104,0,0
7,PP,0.12,0.010104,0.010104,0,0
7,PP,0.122,0.010104,0.010104,0,0
7,PP,0.124,0.010104,0.010104,0,0
7,PP,0.126,0.010104,0.010104,0,0
7,PP,0.128,0.010104,0.010104,0,0
7,PP,0.13,0.010104,0.010104,0,0
7,PP,0.132,0.010104,0.010104,0,0
7,PP,0.134,0.010104,0.010104,0,0
7,PP,0.136,0.010104,0.010104,0,0
7,PP,0.138,0.010104,0.010104,0,0
7,PP,0.14,0.010104,0.010104,0,0
7,PP,0.142,0.010104,0.010104,0,0
7,PP,0.144,0.010104,0.010104,0,0
7,PP,0.146,0.010104,0.010104,0,0
7,PP,0.148,0.010104,0.010104,0,0
7,PP,0.15,0.010104,0.010104,0,0
7,PP,0.152,0.010104,0.010104,0,0
7,PP,0.154,0.010104,0.010104,0,0
7,PP,0.156,0.010104,0.010104,0,0
7,PP,0.158,0.010104,0.010104,0,0
7,PP,0.16,0.010104,0.010104,0,0
7,PP,0.162,0.010104,0.010104,0,0
7,PP,0.164,0.010104,0.010104,0,0
7,PP,0.166,0.010104,0.010104,0,0
7,PP,0.168,0.010104,0.010104,0,0
7,PP,0.17,0.010104,0.010104,0,0
7,PP,0.172,0.010104,0.010104,0,0
7,PP,0.174,0.010104,0.010104,0,0
7,PP,0.176,0.010104,0.010104,0,0
7,PP,0.178,0.010104,0.010104,0,0
7,PP,0.18,0.010104,0.010104,0,0
7,PP,0.182,0.010104,0.010104,0,0
7,PP,0.184,0.010104,0.010104,0,0
7,PP,0.186,0.010104,0.010104,0,0
7,PP,0.188,0.010104,0.010104,0,0
7,PP,0.19,0.010104,0.010104,0,0
7,PP,0.192,0.010104,0.010104,0,0
7,PP,0.194,0.010104,0.010104,0,0
7,PP,0.196,0.010104,0.010104,0,0
7,PP,0.198,0.010104,0.010104,0,0
7,PP,0.2,0.0105189759634094,0.010509467574222,0.000132470468811811,0.000122962079624377
7,PP,0.202,0.0105069907650288,0.010498586264552,0.000120485270431243,0.000112080769954431
7,PP,0.204,0.010496086612676,0.0104886637408823,0.000109581118078433,0.000102158246284737
7,PP,0.206,0.0104861653613673,0.0104796160438717,9.96598667696788e-05,9.31105492741162e-05
7,PP,0.208,0.0104771345580159,0.0104713639987223,9.06290634183141e-05,8.48585041247352e-05
