case_id,method,nonequilibrium_relative_RMSE,delta_CT_relative_RMSE,nonequilibrium_peak_relative_difference,single_run_seconds
1,DIRECT,0,0,0,0.6416899
1,LUT,0.000349761353748195,7.18123139125396e-05,4.21560530973546e-05,0.0104187
1,LTI_EXACT,0.0385062411720611,0.00790602577730983,0.0146488080122578,0.012035
1,SCHEDULED_EXACT,0.00263253308384698,0.000540506520164226,-0.00215143429305399,0.0070244
1,QS,1,0.20531803512014,-1,0.001004
2,DIRECT,0,0,0,0.6761918
2,LUT,0.000352156694889873,8.3117406415084e-05,4.21560530973546e-05,0.0120906
2,LTI_EXACT,0.0308944032784542,0.00729181841637232,0.0146488080122578,0.0026516
2,SCHEDULED_EXACT,0.00248376052679547,0.000586226915856197,-0.00215143429305399,0.0058494
2,QS,1,0.236023928044522,-1,0.0017276
3,DIRECT,0,0,0,1.0638712
3,LUT,0.000353791686025218,3.57672316401007e-05,4.21560530973546e-05,0.0088278
3,LTI_EXACT,0.0919319846653215,0.00929403578586174,0.0146488080122578,0.0015579
3,SCHEDULED_EXACT,0.00265178213478897,0.000268086870383147,-0.00215143429305399,0.0026083
3,QS,1,0.101096868730689,-1,0.0003912
4,DIRECT,0,0,0,0.8199729
4,LUT,0.000360164204500874,4.41827927258037e-05,4.21560530973546e-05,0.0064715
4,LTI_EXACT,0.0740329018904956,0.00908191407763732,0.0146488080122578,0.0003929
4,SCHEDULED_EXACT,0.0026028820408904,0.00031930601726996,-0.00215143429305399,0.000605
4,QS,1,0.122674025274204,-1,0.0003163
5,DIRECT,0,0,0,1.4672601
5,LUT,0.000353791686262337,1.82354841111463e-05,4.21560530973546e-05,0.0143616
5,LTI_EXACT,0.186246682011446,0.00959971232352552,0.0146488080122578,0.0009545
5,SCHEDULED_EXACT,0.0026517821342703,0.000136680800746265,-0.00215143429305399,0.0015083
5,QS,1,0.0515429978126299,-1,0.0009863
6,DIRECT,0,0,0,1.2764886
6,LUT,0.000360164902446389,2.27495153850424e-05,4.21560530973546e-05,0.0119356
6,LTI_EXACT,0.151092270262126,0.00954361711411028,0.0146488080122578,0.000681
6,SCHEDULED_EXACT,0.00260288201799481,0.000164408869691675,-0.00215143429305399,0.0007076
6,QS,1,0.0631641651657847,-1,0.0004497
7,DIRECT,0,0,0,0.5647484
7,LUT,0.000929673617229956,0.000189755672316412,0.000816211381571192,0.0061779
7,LTI_EXACT,0.0126920136295582,0.0025905667695528,0.00498983857772034,0.0003702
7,SCHEDULED_EXACT,0.0013098633941249,0.000267356203713101,-0.00103774499201946,0.0003495
7,QS,1,0.204109989570109,-1,0.0002328
8,DIRECT,0,0,0,0.5509446
8,LUT,0.000936832571136894,0.000219908396560417,0.000816211381571192,0.005561
8,LTI_EXACT,0.0101462569737927,0.00238169249334378,0.00498983857772034,0.0003591
8,SCHEDULED_EXACT,0.00122690893613008,0.00028799978265336,-0.00103774499201946,0.0003865
8,QS,1,0.234736070601759,-1,0.0004457
9,DIRECT,0,0,0,0.8788552
9,LUT,0.00093258160315852,9.36295341785849e-05,0.000816211381571192,0.0121545
9,LTI_EXACT,0.0304227499987547,0.00305438998707201,0.00498983857772034,0.0005241
9,SCHEDULED_EXACT,0.00132681261250435,0.000133209626300056,-0.00103774499201946,0.0008278
9,QS,1,0.100398221304683,-1,0.0003427
10,DIRECT,0,0,0,0.9124942
10,LUT,0.000939561290783126,0.000114476658021833,0.000816211381571192,0.0096176
10,LTI_EXACT,0.0244872067607695,0.00298353457274304,0.00498983857772034,0.0004906
10,SCHEDULED_EXACT,0.00130578096721763,0.000159097062322564,-0.00103774499201946,0.0005955
10,QS,1,0.121840543182038,-1,0.0005164
11,DIRECT,0,0,0,1.7422123
11,LUT,0.000932581603369175,4.77247092752611e-05,0.000816211381571192,0.0136544
11,LTI_EXACT,0.06167083263138,0.00315599465769301,0.00498983857772034,0.0006646
11,SCHEDULED_EXACT,0.00132681261235822,6.78994159425629e-05,-0.00103774499201946,0.0008388
11,QS,1,0.0511748345698051,-1,0.0007561
12,DIRECT,0,0,0,1.8993198
12,LUT,0.000939561782674079,5.89229468963398e-05,0.000816211381571192,0.0157415
12,LTI_EXACT,0.0500259889905721,0.00313729096594265,0.00498983857772034,0.0009028
12,SCHEDULED_EXACT,0.00130578187486889,8.18897889313068e-05,-0.00103774499201946,0.0008744
12,QS,1,0.0627132222520159,-1,0.0006249
13,DIRECT,0,0,0,1.0121529
13,LUT,0.000561607185210226,0.000113897657011658,-0.000476633485740395,0.0155591
13,LTI_EXACT,0.0259024328951752,0.00525318495801971,-0.00772005465623022,0.0006398
13,SCHEDULED_EXACT,0.000980734300553899,0.000198899412126008,0.00143787123129592,0.0049578
13,QS,1,0.20280662358161,-1,0.0004916
14,DIRECT,0,0,0,1.1957423
14,LUT,0.000550951136306669,0.00012855283132306,-0.000476633485740395,0.0391742
14,LTI_EXACT,0.0213591898395817,0.00498371660879307,-0.0117549941416989,0.0018676
14,SCHEDULED_EXACT,0.000963466891895877,0.000224804685347454,0.00143787123129592,0.0010571
14,QS,1,0.233328915854173,-1,0.0004571
15,DIRECT,0,0,0,1.4404421
15,LUT,0.000567181958687643,5.65163399822286e-05,0.000611169845653545,0.0171761
15,LTI_EXACT,0.0586048325845319,0.00583962622967181,-0.00467753861833643,0.0005251
15,SCHEDULED_EXACT,0.000984744655862178,9.81240022076218e-05,-0.000951992634307696,0.0005907
15,QS,1,0.0996441073566536,-1,0.0006822
16,DIRECT,0,0,0,0.8232429
16,LUT,0.000567894514876906,6.8681838205045e-05,0.000611168757727238,0.0074312
16,LTI_EXACT,0.0475430601740133,0.00574991425538257,-0.00467754464707357,0.0003418
16,SCHEDULED_EXACT,0.000975058617173981,0.000117924749105376,-0.000951991270907532,0.0005955
16,QS,1,0.120941189614998,-1,0.000301
17,DIRECT,0,0,0,1.3925748
17,LUT,0.00056718195881464,2.87998266516945e-05,0.000611169845897925,0.0136493
17,LTI_EXACT,0.11758763639818,0.00597075328652478,-0.00467753861721885,0.0005379
17,SCHEDULED_EXACT,0.000984744656260945,5.00024285958752e-05,-0.00095199263547252,0.0006914
17,QS,1,0.0507770499468699,-1,0.0006155
18,DIRECT,0,0,0,1.2234005
18,LUT,0.000567895123820358,3.5337786119635e-05,0.000611169845936993,0.0131721
18,LTI_EXACT,0.0955674659417883,0.00594677173617484,-0.00467753861714117,0.0007476
18,SCHEDULED_EXACT,0.000975059065806803,6.0673929527156e-05,-0.000951992635394554,0.0007232
18,QS,1,0.0622259016452013,-1,0.0005624
19,DIRECT,0,0,0,0.5976225
19,LUT,0.000344323731791874,6.93757623379092e-05,1.60025711512279e-05,0.006132
19,LTI_EXACT,0.0704256641288623,0.0141896526029946,-0.0124666833697357,0.0003883
19,SCHEDULED_EXACT,0.00237614049009181,0.000478754563515633,-0.00200887244259204,0.0004617
19,QS,1,0.201484114896394,-1,0.0002635
20,DIRECT,0,0,0,0.5668893
20,LUT,0.000347788546375018,8.06559041539626e-05,-3.78662475425712e-05,0.0057696
20,LTI_EXACT,0.058230827077333,0.0135043550355766,-0.032454061588078,0.0003278
20,SCHEDULED_EXACT,0.00229600603409616,0.000532468491424368,0.00395434075410079,0.0006051
20,QS,1,0.231910754378299,-1,0.0003643
21,DIRECT,0,0,0,0.6415561
21,LUT,0.000348251015835141,3.44378319822821e-05,2.18226002676899e-05,0.0062934
21,LTI_EXACT,0.159103297836451,0.0157334003048895,-0.0122599942501151,0.0006545
21,SCHEDULED_EXACT,0.00238379173085434,0.0002357282976219,-0.00291716443688978,0.000651
21,QS,1,0.0988879584448499,-1,0.0003114
22,DIRECT,0,0,0,0.6021667
22,LUT,0.000354987760530068,4.26123511818073e-05,2.18208438299514e-05,0.0072204
22,LTI_EXACT,0.12909382796449,0.0154962850674417,-0.0122600171006768,0.0003182
22,SCHEDULED_EXACT,0.00233201236073843,0.000279932270137197,-0.0029171633760906,0.0004283
22,QS,1,0.120038930689268,-1,0.0002767
23,DIRECT,0,0,0,1.2040989
23,LUT,0.000348251016001771,1.75446990292146e-05,2.18226008218054e-05,0.0148357
23,LTI_EXACT,0.319173642392914,0.0160797965735537,-0.0122599942438074,0.0008704
23,SCHEDULED_EXACT,0.00238379173112663,0.000120094146317536,-0.00291716443765852,0.0011725
23,QS,1,0.0503794625803056,-1,0.0012423
24,DIRECT,0,0,0,1.3659213
24,LUT,0.000354988348688733,2.19167506669378e-05,2.18226008347136e-05,0.0129913
24,LTI_EXACT,0.259420510310029,0.016016454239573,-0.0122599942437819,0.0006951
24,SCHEDULED_EXACT,0.00233201260925499,0.000143976947688534,-0.00291716443763278,0.0006812
24,QS,1,0.0617393521446396,-1,0.0004929
25,DIRECT,0,0,0,0.5945537
25,LUT,0.000395278565215435,7.31000598798516e-05,5.26056794101511e-05,0.0059567
25,LTI_EXACT,0.0150897805573004,0.00279059873057191,-0.00772668933456444,0.0004098
25,SCHEDULED_EXACT,0.00263904778977336,0.000488047084852883,-0.00445557611174447,0.0004117
25,QS,1,0.184933022715286,-1,0.0003349
26,DIRECT,0,0,0,0.549631
26,LUT,0.000397255410212353,8.49825341162672e-05,5.26056794101511e-05,0.0058096
26,LTI_EXACT,0.0104031093316136,0.00222547653464687,-0.00772668933456444,0.0004048
26,SCHEDULED_EXACT,0.00254992176537805,0.000545489898562277,-0.00445557611174447,0.0005747
26,QS,1,0.213924170525053,-1,0.0004492
27,DIRECT,0,0,0,0.8097903
27,LUT,0.000399011984891576,3.58890983627761e-05,5.26056794101511e-05,0.0073553
27,LTI_EXACT,0.0425050371543059,0.00382311187910522,-0.00772668933456444,0.0003827
27,SCHEDULED_EXACT,0.00264780279288266,0.000238156392482348,-0.00445557611174447,0.0010357
27,QS,1,0.0899449132399576,-1,0.0004596
28,DIRECT,0,0,0,0.7186522
28,LUT,0.000405683302766064,4.4333594419639e-05,5.26056794101511e-05,0.007684
28,LTI_EXACT,0.0336283466911465,0.00367494908723913,-0.00772668933456444,0.0004604
28,SCHEDULED_EXACT,0.00258765074090631,0.000282781809516996,-0.00445557611174447,0.0005358
28,QS,1,0.109281289413096,-1,0.0003318
29,DIRECT,0,0,0,1.261141
29,LUT,0.000399011984991063,1.82475220678582e-05,5.26056794101511e-05,0.0138369
29,LTI_EXACT,0.0880500716114514,0.00402668512536645,-0.00772668933456444,0.0006305
29,SCHEDULED_EXACT,0.00264780279283047,0.000121088693349882,-0.00445557611174447,0.0006634
29,QS,1,0.0457317643435369,-1,0.0005676
30,DIRECT,0,0,0,0.9908813
30,LUT,0.000405683724359375,2.27341692234888e-05,5.26056794101511e-05,0.0104739
30,LTI_EXACT,0.0711831750150103,0.00398904429605094,-0.00772668933456444,0.0005945
30,SCHEDULED_EXACT,0.00258765101566119,0.000145009751560212,-0.00445557611174447,0.0008274
30,QS,1,0.056039145418981,-1,0.0006489
31,DIRECT,0,0,0,0.4494608
31,LUT,0.00109925456337229,0.000201798290366268,0.000838413183918029,0.0050114
31,LTI_EXACT,0.00809966809480369,0.00148691597790713,-0.000928047020476113,0.0003406
31,SCHEDULED_EXACT,0.00100834483215426,0.000185109318631482,-0.0020724072645926,0.0003542
31,QS,1,0.183577396073928,-1,0.0002893
32,DIRECT,0,0,0,0.367894
32,LUT,0.00110660593219903,0.000235078953807351,0.000838413183918029,0.0045743
32,LTI_EXACT,0.00588591874152895,0.00125035984327693,-0.000928047020476113,0.0003834
32,SCHEDULED_EXACT,0.000988445175102521,0.000209977780615433,-0.0020724072645926,0.0004295
32,QS,1,0.212432399797646,-1,0.000307
33,DIRECT,0,0,0,0.6022301
33,LUT,0.00110326350111886,9.84016925875018e-05,0.000838413183918029,0.0061716
33,LTI_EXACT,0.0215955552039871,0.00192613929698941,-0.000928047020476113,0.0004851
33,SCHEDULED_EXACT,0.00100816371520949,8.9919602960952e-05,-0.0020724072645926,0.0004193
33,QS,1,0.0891914692072282,-1,0.0003767
34,DIRECT,0,0,0,0.5519572
34,LUT,0.00111411838747436,0.00012074696394387,0.000838413183918029,0.0064001
34,LTI_EXACT,0.0171927566741553,0.00186333265258826,-0.000928047020476113,0.0004615
34,SCHEDULED_EXACT,0.000981491031647508,0.000106372952409692,-0.0020724072645926,0.0016567
34,QS,1,0.108378934681794,-1,0.0003511
35,DIRECT,0,0,0,1.0024772
35,LUT,0.0011032635011916,5.00195022545902e-05,0.000838413183918029,0.0100157
35,LTI_EXACT,0.0444311572122779,0.00201440940079429,-0.000928047020476113,0.0005347
35,SCHEDULED_EXACT,0.00100816371514479,4.5707890425284e-05,-0.0020724072645926,0.000485
35,QS,1,0.0453377658198297,-1,0.0005771
36,DIRECT,0,0,0,0.910045
36,LUT,0.00111411876756708,6.18965274986343e-05,0.000838413183918029,0.0098816
36,LTI_EXACT,0.0359689993006195,0.00199831132830737,-0.000928047020476113,0.0004275
36,SCHEDULED_EXACT,0.00098149112918095,5.45282015127318e-05,-0.0020724072645926,0.0005223
36,QS,1,0.0555564893981622,-1,0.0004227
37,DIRECT,0,0,0,0.4806077
37,LUT,0.000728824783179907,0.000132909064979183,4.22561764051889e-05,0.0054701
37,LTI_EXACT,0.0119999656670711,0.00218832324778262,-0.0027093865442041,0.0003716
37,SCHEDULED_EXACT,0.00171574119678184,0.000312883924193133,0.00191804459632335,0.0004245
37,QS,1,0.182360792396895,-1,0.0003051
38,DIRECT,0,0,0,0.4453331
38,LUT,0.000725607009863163,0.000153179009467696,-0.000151758681760091,0.0055049
38,LTI_EXACT,0.00942366989147322,0.00198938047717957,-0.0027093865442041,0.0006232
38,SCHEDULED_EXACT,0.00166151317796623,0.000350753147859456,0.00191804459632335,0.0005684
38,QS,1,0.211104643954009,-1,0.0004349
39,DIRECT,0,0,0,0.702207
39,LUT,0.000734577555427072,6.50177705842013e-05,0.000630583625864064,0.0071059
39,LTI_EXACT,0.0293498020038389,0.00259776340738848,-0.00310666907155728,0.0004945
39,SCHEDULED_EXACT,0.00172399014962883,0.000152591098393719,-0.00247795739713527,0.0005793
39,QS,1,0.0885104235813481,-1,0.0003576
40,DIRECT,0,0,0,0.6290108
40,LUT,0.000742261769759354,7.98425532334024e-05,0.000630582629469166,0.006782
40,LTI_EXACT,0.0235886135494871,0.00253734627022174,-0.00310667347371335,0.0005351
40,SCHEDULED_EXACT,0.0017024351248449,0.000183125108445113,-0.00247795684542785,0.0007451
40,QS,1,0.107566570832939,-1,0.0003098
41,DIRECT,0,0,0,1.3525447
41,LUT,0.000734577555512835,3.30421733524473e-05,0.000630583625976274,0.0107632
41,LTI_EXACT,0.0596677958280888,0.00268392852261016,-0.0031066690709887,0.0006226
41,SCHEDULED_EXACT,0.00172399014988468,7.75471302694953e-05,-0.0024779573976688,0.0008489
41,QS,1,0.0449811910321428,-1,0.0006165
42,DIRECT,0,0,0,1.1920978
42,LUT,0.000742262232395969,4.09143216511631e-05,0.000630583626060076,0.0142582
42,LTI_EXACT,0.0484063368457357,0.00266821124559716,-0.00310666907090521,0.0006206
42,SCHEDULED_EXACT,0.00170243549745361,9.38401423285905e-05,-0.00247795739758526,0.0007424
42,QS,1,0.0551211147024073,-1,0.0005366
43,DIRECT,0,0,0,0.7136016
43,LUT,0.000244150961928299,4.42467639463168e-05,0.000122464641926856,0.0068067
43,LTI_EXACT,0.0468253433202671,0.00848601986342186,-0.00904268745579003,0.0005886
43,SCHEDULED_EXACT,0.00268299259388876,0.000486230891878998,-0.00499304363662826,0.0008294
