method,amplitude_deg,duration_s,worst_relative_RMSE,pass_count,cases
DIRECT,-0.3,0.1,0.0,6,6
DIRECT,-0.3,0.5,0.0,6,6
DIRECT,-0.3,2.0,0.0,6,6
DIRECT,-0.1,0.1,0.0,6,6
DIRECT,-0.1,0.5,0.0,6,6
DIRECT,-0.1,2.0,0.0,6,6
DIRECT,0.1,0.1,0.0,6,6
DIRECT,0.1,0.5,0.0,6,6
DIRECT,0.1,2.0,0.0,6,6
DIRECT,0.3,0.1,0.0,6,6
DIRECT,0.3,0.5,0.0,6,6
DIRECT,0.3,2.0,0.0,6,6
LTI_EXACT,-0.3,0.1,0.420083853652359,0,6
LTI_EXACT,-0.3,0.5,0.81848458562983,0,6
LTI_EXACT,-0.3,2.0,1.68016732910136,0,6
LTI_EXACT,-0.1,0.1,0.167034286595863,2,6
LTI_EXACT,-0.1,0.5,0.326349966967196,0,6
LTI_EXACT,-0.1,2.0,0.670581357325841,0,6
LTI_EXACT,0.1,0.1,0.0568741837765518,1,6
LTI_EXACT,0.1,0.5,0.108832061746912,0,6
LTI_EXACT,0.1,2.0,0.222530858768379,0,6
LTI_EXACT,0.3,0.1,0.179876224898035,0,6
LTI_EXACT,0.3,0.5,0.344211165938011,0,6
LTI_EXACT,0.3,2.0,0.704109368288589,0,6
LUT,-0.3,0.1,0.0003972882604025,6,6
LUT,-0.3,0.5,0.0003953087113336,6,6
LUT,-0.3,2.0,0.0004056837244521,6,6
LUT,-0.1,0.1,0.0011065424723661,6,6
LUT,-0.1,0.5,0.0010974743509433,6,6
LUT,-0.1,2.0,0.0011141187678346,6,6
LUT,0.1,0.1,0.0007369539111064,6,6
LUT,0.1,0.5,0.0007364520866747,6,6
LUT,0.1,2.0,0.0007422622325469,6,6
LUT,0.3,0.1,0.0003478860090385,6,6
LUT,0.3,0.5,0.0003451985339046,6,6
LUT,0.3,2.0,0.0003549883486019,6,6
QS,-0.3,0.1,1.0,0,6
QS,-0.3,0.5,1.0,0,6
QS,-0.3,2.0,1.0,0,6
QS,-0.1,0.1,1.0,0,6
QS,-0.1,0.5,1.0,0,6
QS,-0.1,2.0,1.0,0,6
QS,0.1,0.1,1.0,0,6
QS,0.1,0.5,1.0,0,6
QS,0.1,2.0,1.0,0,6
QS,0.3,0.1,1.0,0,6
QS,0.3,0.5,1.0,0,6
QS,0.3,2.0,1.0,0,6
SCHEDULED_EXACT,-0.3,0.1,0.0026390421446488,6,6
SCHEDULED_EXACT,-0.3,0.5,0.0028850796013797,6,6
SCHEDULED_EXACT,-0.3,2.0,0.0026517821343145,6,6
SCHEDULED_EXACT,-0.1,0.1,0.0013098597425244,6,6
SCHEDULED_EXACT,-0.1,0.5,0.0014311010870839,6,6
SCHEDULED_EXACT,-0.1,2.0,0.0013268126124802,6,6
SCHEDULED_EXACT,0.1,0.1,0.001715737361329,6,6
SCHEDULED_EXACT,0.1,0.5,0.0017981041620492,6,6
SCHEDULED_EXACT,0.1,2.0,0.0017239901497921,6,6
SCHEDULED_EXACT,0.3,0.1,0.0026829866065589,6,6
SCHEDULED_EXACT,0.3,0.5,0.0029710326542718,6,6
SCHEDULED_EXACT,0.3,2.0,0.002707136281951,6,6
