method,amplitude_deg,duration_s,worst_relative_RMSE,pass_count,cases
DIRECT,-0.3,0.1,0.0,6,6
DIRECT,-0.3,0.5,0.0,6,6
DIRECT,-0.3,2.0,0.0,6,6
DIRECT,-0.1,0.1,0.0,6,6
DIRECT,-0.1,0.5,0.0,6,6
DIRECT,-0.1,2.0,0.0,6,6
DIRECT,0.1,0.1,0.0,6,6
DIRECT,0.1,0.5,0.0,6,6
DIRECT,0.1,2.0,0.0,6,6
DIRECT,0.3,0.1,0.0,6,6
DIRECT,0.3,0.5,0.0,6,6
DIRECT,0.3,2.0,0.0,6,6
LTI_EXACT,-0.3,0.1,0.416703854455518,0,6
LTI_EXACT,-0.3,0.5,0.854849730543044,0,6
LTI_EXACT,-0.3,2.0,1.68016732910137,0,6
LTI_EXACT,-0.1,0.1,0.165680480423471,2,6
LTI_EXACT,-0.1,0.5,0.340941688625126,0,6
LTI_EXACT,-0.1,2.0,0.670581357325529,0,6
LTI_EXACT,0.1,0.1,0.0564361125472543,1,6
LTI_EXACT,0.1,0.5,0.113713921841012,0,6
LTI_EXACT,0.1,2.0,0.222530858768249,0,6
LTI_EXACT,0.3,0.1,0.178490406967751,0,6
LTI_EXACT,0.3,0.5,0.359768357334694,0,6
LTI_EXACT,0.3,2.0,0.704109368287944,0,6
LUT,-0.3,0.1,0.0003972554102123,6,6
LUT,-0.3,0.5,0.000405683302766,6,6
LUT,-0.3,2.0,0.0004056837243593,6,6
LUT,-0.1,0.1,0.001106605932199,6,6
LUT,-0.1,0.5,0.0011141183874743,6,6
LUT,-0.1,2.0,0.001114118767567,6,6
LUT,0.1,0.1,0.0007369875305423,6,6
LUT,0.1,0.5,0.0007422617697593,6,6
LUT,0.1,2.0,0.0007422622323959,6,6
LUT,0.3,0.1,0.000347788546375,6,6
LUT,0.3,0.5,0.00035498776053,6,6
LUT,0.3,2.0,0.0003549883486887,6,6
QS,-0.3,0.1,1.0,0,6
QS,-0.3,0.5,1.0,0,6
QS,-0.3,2.0,1.0,0,6
QS,-0.1,0.1,1.0,0,6
QS,-0.1,0.5,1.0,0,6
QS,-0.1,2.0,1.0,0,6
QS,0.1,0.1,1.0,0,6
QS,0.1,0.5,1.0,0,6
QS,0.1,2.0,1.0,0,6
QS,0.3,0.1,1.0,0,6
QS,0.3,0.5,1.0,0,6
QS,0.3,2.0,1.0,0,6
SCHEDULED_EXACT,-0.3,0.1,0.0026390477897733,6,6
SCHEDULED_EXACT,-0.3,0.5,0.0026517821347889,6,6
SCHEDULED_EXACT,-0.3,2.0,0.0026517821342703,6,6
SCHEDULED_EXACT,-0.1,0.1,0.0013098633941249,6,6
SCHEDULED_EXACT,-0.1,0.5,0.0013268126125043,6,6
SCHEDULED_EXACT,-0.1,2.0,0.0013268126123582,6,6
SCHEDULED_EXACT,0.1,0.1,0.0017157411967818,6,6
SCHEDULED_EXACT,0.1,0.5,0.0017239901496288,6,6
SCHEDULED_EXACT,0.1,2.0,0.0017239901498846,6,6
SCHEDULED_EXACT,0.3,0.1,0.0026829925938887,6,6
SCHEDULED_EXACT,0.3,0.5,0.0027071362817017,6,6
SCHEDULED_EXACT,0.3,2.0,0.0027071362819698,6,6
