pointId,criteriaId,criteriaLabel,criterionType,thresholdValue,thresholdFrequencyRadPerSecond,modeIndex,realPartPerSecond,naturalFrequencyRadPerSecond,dampingRatio,pathologicalEigenvectors,status
B15_V020,SHORT_PERIOD_SCREEN,short-period,DAMPING_AND_FREQUENCY,0.3,1,5,-0.401553807125412,0.805603985589748,0.498450621283175,1,SCREEN_UNCERTAIN
B15_V020,DUTCH_ROLL_SCREEN,dutch-roll,DAMPING_AND_FREQUENCY,0.08,0.4,3,-0.0645326441584511,0.510056361197388,0.126520614323791,1,SCREEN_UNCERTAIN
B15_V020,ROLL_SUBSIDENCE_SCREEN,roll subsidence,DECAY_RATE,0.1,NaN,2,-2.34657414497127,2.34657414497127,1,1,SCREEN_UNCERTAIN
B15_V020,SPIRAL_SCREEN,spiral,DECAY_RATE,0,NaN,8,-0.000311118344312149,0.000311118344312149,1,1,SCREEN_UNCERTAIN
B45_V035,SHORT_PERIOD_SCREEN,short-period,DAMPING_AND_FREQUENCY,0.3,1,5,-0.466884312172122,1.19451151896119,0.39085794047273,1,SCREEN_UNCERTAIN
B45_V035,DUTCH_ROLL_SCREEN,dutch-roll,DAMPING_AND_FREQUENCY,0.08,0.4,3,-0.0835719264873784,0.776453094251332,0.107632936369401,1,SCREEN_UNCERTAIN
B45_V035,ROLL_SUBSIDENCE_SCREEN,roll subsidence,DECAY_RATE,0.1,NaN,2,-2.02076256047343,2.02076256047343,1,1,SCREEN_UNCERTAIN
B45_V035,SPIRAL_SCREEN,spiral,DECAY_RATE,0,NaN,7,-0.072799223042436,0.072799223042436,1,1,SCREEN_UNCERTAIN
B75_V080,SHORT_PERIOD_SCREEN,short-period,DAMPING_AND_FREQUENCY,0.3,1,6,-1.00563442109611,3.21698752209151,0.312601281226699,1,SCREEN_UNCERTAIN
B75_V080,DUTCH_ROLL_SCREEN,dutch-roll,DAMPING_AND_FREQUENCY,0.08,0.4,2,-0.545327250073881,1.69170751874545,0.322353151494113,1,SCREEN_UNCERTAIN
B75_V080,ROLL_SUBSIDENCE_SCREEN,roll subsidence,DECAY_RATE,0.1,NaN,4,-1.67586321484035,1.67586321484035,1,1,SCREEN_UNCERTAIN
B75_V080,SPIRAL_SCREEN,spiral,DECAY_RATE,0,NaN,9,-0.077933444245873,0.077933444245873,1,1,SCREEN_UNCERTAIN
