speed_kt,component,stateMode,controlMode,elevator_deg,theta_deg,alpha_deg,V_mps,qbar_Pa,rX_m,rZ_m,alphaEff_deg,CL,CD,X_lbf,Z_lbf,M_lbfft,Maero_lbfft,Marm_lbfft,referenceX_lbf,referenceZ_lbf,referenceM_lbfft,dX_lbf,dZ_lbf,dM_lbfft,sourcePrintedPage,sourcePdfPage
60,fuselage,SPEED_ALPHA,NO_CONTROL,NaN,-5.69,-5.7,30.8666666666667,584.323012933881,0.208280000000001,-0.0609599999999997,NaN,0.0114807758196187,0.00883977900552486,-21.9483299371792,-23.2951068567342,-2112.42829354284,-2132.73628254904,20.3079890062043,-42.62,-21.25,-2107.49,20.6716700628208,-2.04510685673424,-4.93829354283707,180,196
60,horizontalTail,SPEED_ALPHA,REFERENCE_ACTUAL_ELEVATOR,2.34,-5.69,-5.7,30.8666666666667,584.323012933881,-6.58368,-0.54864,-6.2226089892741,-0.335712938575697,0.0225135074479695,6.70932806094932,206.226899451823,4442.42423764968,0,4442.42423764968,-9.95,-78.06,-1665.8,16.6593280609493,284.286899451823,6108.22423764968,180,196
60,horizontalTail,SPEED_ALPHA,CURRENT_STICK_MAPPING,2.0433,-5.69,-5.7,30.8666666666667,584.323012933881,-6.58368,-0.54864,-6.2226089892741,-0.346687808885612,0.0234247862719725,6.82170379140743,212.979387402564,4588.07570107085,0,4588.07570107085,-9.95,-78.06,-1665.8,16.7717037914074,291.039387402564,6253.87570107085,180,196
60,fuselage,TABULATED_UW,NO_CONTROL,NaN,-5.69,-5.68808094679411,30.8758662942834,584.671372882235,0.208280000000001,-0.0609599999999997,NaN,0.0115402714621574,0.00883977900552486,-21.969598784102,-23.4444134298043,-2110.82963057152,-2131.24389950538,20.4142689338534,-42.62,-21.25,-2107.49,20.650401215898,-2.19441342980427,-3.33963057152278,180,196
60,horizontalTail,TABULATED_UW,REFERENCE_ACTUAL_ELEVATOR,2.34,-5.69,-5.68808094679411,30.8758662942834,584.671372882235,-6.58368,-0.54864,-6.21775866856381,-0.335396367077842,0.0224876564413089,6.66693312790361,206.156372581448,4440.97716812906,0,4440.97716812906,-9.95,-78.06,-1665.8,16.6169331279036,284.216372581448,6106.77716812906,180,196
60,horizontalTail,TABULATED_UW,CURRENT_STICK_MAPPING,2.0433,-5.69,-5.68808094679411,30.8758662942834,584.671372882235,-6.58368,-0.54864,-6.21775866856381,-0.346372871956083,0.0233982275460272,6.7785018493834,212.91386446084,4586.73816902525,0,4586.73816902525,-9.95,-78.06,-1665.8,16.7285018493834,290.97386446084,6252.53816902525,180,196
40,fuselage,SPEED_ALPHA,NO_CONTROL,NaN,-2.52,-2.52,20.5777777777778,259.699116859502,0.208280000000001,-0.0609599999999997,NaN,0.0273541963006567,0.00883977900552486,-9.85063397664934,-26.4469277671469,-600.302491307416,-620.344685410297,20.0421941028804,-15.85,-26.14,-598.52,5.99936602335066,-0.306927767146924,-1.78249130741619,179,195
40,horizontalTail,SPEED_ALPHA,REFERENCE_ACTUAL_ELEVATOR,1.27,-2.52,-2.52,20.5777777777778,259.699116859502,-6.58368,-0.54864,-4.92854480545735,-0.290492672841853,0.0190679265364358,-1.71083074880041,79.3264178243147,1716.53012035304,0,1716.53012035304,-3.86,-75.39,-1619,2.14916925119959,154.716417824315,3335.53012035304,179,195
40,horizontalTail,SPEED_ALPHA,CURRENT_STICK_MAPPING,1.1259,-2.52,-2.52,20.5777777777778,259.699116859502,-6.58368,-0.54864,-4.92854480545735,-0.295935153459898,0.0194562770183006,-1.75135364956406,80.8129984427938,1748.71320293356,0,1748.71320293356,-3.86,-75.39,-1619,2.10864635043594,156.202998442794,3367.71320293356,179,195
40,fuselage,TABULATED_UW,NO_CONTROL,NaN,-2.52,-2.52125447982059,20.5786807439917,259.721908890386,0.208280000000001,-0.0609599999999997,NaN,0.0273479343869218,0.00883977900552486,-9.85180714585659,-26.4428910281385,-600.488680574003,-620.528350872402,20.0396702983994,-15.85,-26.14,-598.52,5.99819285414341,-0.302891028138525,-1.96868057400297,179,195
40,horizontalTail,TABULATED_UW,REFERENCE_ACTUAL_ELEVATOR,1.27,-2.52,-2.52125447982059,20.5786807439917,259.721908890386,-6.58368,-0.54864,-4.9290553014967,-0.290526640045729,0.0190703279267467,-1.7094905480069,79.342695696575,1716.87931003243,0,1716.87931003243,-3.86,-75.39,-1619,2.1505094519931,154.732695696575,3335.87931003243,179,195
40,horizontalTail,TABULATED_UW,CURRENT_STICK_MAPPING,1.1259,-2.52,-2.52125447982059,20.5786807439917,259.721908890386,-6.58368,-0.54864,-4.9290553014967,-0.295969047315749,0.0194587181139007,-1.74999614566933,80.829388171628,1749.06477756937,0,1749.06477756937,-3.86,-75.39,-1619,2.11000385433067,156.219388171628,3368.06477756937,179,195
80,fuselage,SPEED_ALPHA,NO_CONTROL,NaN,-9.35,-9.35,41.1555555555556,1038.79646743801,0.208280000000001,-0.0609599999999997,NaN,-0.0067387162419501,0.00883977900552486,-29.9527391585594,31.7505275977664,-5311.02812310734,-5295.32247708058,-15.705646026762,-104,44.09,-5308.99,74.0472608414406,-12.3394724022336,-2.03812310734065,181,197
80,horizontalTail,SPEED_ALPHA,REFERENCE_ACTUAL_ELEVATOR,4.71,-9.35,-9.35,41.1555555555556,1038.79646743801,-6.58368,-0.54864,-7.70793423170528,-0.344739396966473,0.0232608633717757,36.0382368342533,374.964948277333,8034.37405648873,0,8034.37405648873,-10.67,31.09,689.59,46.7082368342533,343.874948277333,7344.78405648873,181,197
80,horizontalTail,SPEED_ALPHA,CURRENT_STICK_MAPPING,4.17,-9.35,-9.35,41.1555555555556,1038.79646743801,-6.58368,-0.54864,-7.70793423170528,-0.364584064709546,0.0249736392756924,37.7106648610038,396.615731980561,8499.02061403031,0,8499.02061403031,-10.67,31.09,689.59,48.3806648610038,365.525731980561,7809.43061403031,181,197
80,fuselage,TABULATED_UW,NO_CONTROL,NaN,-9.35,-9.34928402602663,41.1459283238487,1038.31052747426,0.208280000000001,-0.0609599999999997,NaN,-0.00673514235643665,0.00883977900552486,-29.9414029523777,31.7214593841778,-5308.23857963026,-5292.55052964155,-15.6880499887128,-104,44.09,-5308.99,74.0585970476223,-12.3685406158222,0.751420369736479,181,197
80,horizontalTail,TABULATED_UW,REFERENCE_ACTUAL_ELEVATOR,4.71,-9.35,-9.34928402602663,41.1459283238487,1038.31052747426,-6.58368,-0.54864,-7.70764287438595,-0.344720462475788,0.0232592749164621,36.0150511244055,374.769353005277,8030.19093289006,0,8030.19093289006,-10.67,31.09,689.59,46.6850511244055,343.679353005277,7340.60093289006,181,197
80,horizontalTail,TABULATED_UW,CURRENT_STICK_MAPPING,4.17,-9.35,-9.34928402602663,41.1459283238487,1038.31052747426,-6.58368,-0.54864,-7.70764287438595,-0.364565314833851,0.0249719757585099,37.6865397696076,396.410214762097,8494.62486727599,0,8494.62486727599,-10.67,31.09,689.59,48.3565397696076,365.320214762097,7805.03486727599,181,197
100,fuselage,SPEED_ALPHA,NO_CONTROL,NaN,-12.61,-12.61,51.4444444444444,1623.11948037189,0.208280000000001,-0.0609599999999997,NaN,-0.0230114680558444,0.00883977900552486,-22.1063520908514,149.629594897515,-10470.37985991,-10372.5542404815,-97.8256194284656,-229.31,196.52,-10466.28,207.203647909149,-46.8904051024849,-4.09985990997666,182,198
100,horizontalTail,SPEED_ALPHA,REFERENCE_ACTUAL_ELEVATOR,10.13,-12.61,-12.61,51.4444444444444,1623.11948037189,-6.58368,-0.54864,-9.03455348932875,-0.228004688527372,0.0151255740316817,59.647743344053,384.651584810572,8201.10829388905,0,8201.10829388905,26.08,320.06,6856.2,33.567743344053,64.5915848105716,1344.90829388905,182,198
