i_n_deg,betaM_deg,speed_mps,speed_kt,mode,credible,solverConverged,physicalConverged,physicalBranchSupported,withinLimits,atLimit,residualNorm,status,theta_deg,alpha_deg,collective_deg,stick_in,delta_lon_pct,power_kW,thrust_total_N
90,0,0.1,0.194384617178935,helicopter_longitudinal,0,0,0,1,1,0,9.81454458036503,INDUCED_CLOSURE_RESIDUAL_NOT_SATISFIED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,0,10,19.4384617178935,helicopter_longitudinal,0,0,1,1,1,0,0.397515402498523,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,0,20,38.876923435787,helicopter_longitudinal,0,0,1,1,1,0,0.423357798921779,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,30,20,38.876923435787,conversion_longitudinal,0,0,1,1,1,0,4.54595528686047,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,30,30,58.3153851536805,conversion_longitudinal,0,0,1,1,1,0,3.42163525810294,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,30,40,77.753846871574,conversion_longitudinal,0,0,0,0,1,0,13.9802109765042,UNSUPPORTED_NONPOSITIVE_THRUST_BRANCH,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,60,30,58.3153851536805,conversion_longitudinal,0,0,0,0,0,1,15.1998783115802,UNSUPPORTED_NONPOSITIVE_THRUST_BRANCH,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,60,40,77.753846871574,conversion_longitudinal,0,0,0,0,0,1,11.9862295176192,UNSUPPORTED_NONPOSITIVE_THRUST_BRANCH,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,60,50,97.1923085894675,conversion_longitudinal,0,0,1,1,1,0,1.00512877436902,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,90,40,77.753846871574,conversion_longitudinal,0,0,0,0,1,0,5.77300276672785,UNSUPPORTED_NONPOSITIVE_THRUST_BRANCH,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,90,50,97.1923085894675,conversion_longitudinal,0,0,0,0,1,0,4.30919179852852,UNSUPPORTED_NONPOSITIVE_THRUST_BRANCH,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,90,60,116.630770307361,conversion_longitudinal,0,0,1,1,1,0,1.06869865328645,PHYSICAL_CONVERGED,NaN,NaN,NaN,NaN,NaN,NaN,NaN
