speed_kt,speed_mps,solverRevision,newtonIterations,newtonEvaluations,fminsearchEvaluations,numericallyAccepted,status,theta_deg,collectiveControl_deg,collectiveGeometric75_deg,theta75Deg,stick_in,stick_pct,cyclicLong_deg,theta1sRight_deg,elevator_deg,thrustLeft_N,thrustRight_N,thrustPerRotor_lbf,shaftPowerLeft_kW,shaftPowerRight_kW,totalRotorPower_kW,residualNorm,residualUdot_g,residualWdot_g,residualQdot_radps2,withinLimits,atBound,controlsClamped,minimumBoundMargin,physicalConverged,physicalBranchSupported,finiteReal,alphaClampCount,machClampCount,wingImmersedHalf_m2,repeatEvaluationDifference,exitflag,evaluationCount,invalidEvaluationCount,attemptCount,selectedAttempt,seedSpeed_kt,seedRole,elapsed_s,totalElapsed_s,errorIdentifier
0,0,NOT_RUN,0,0,0,0,SKIPPED_SOURCE_DOMAIN_FORWARD_VELOCITY_REQUIRED,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,,0,0,
0.01,0.00514444,NEWTON_V2,3,22,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,0.928537378733071,36.1665750207958,9.77699436864594,9.77699436864594,5.67966814903605,59.1632098857922,1.88500758446321,-1.88500758446321,3.66821618148032,29031.7905972045,29031.7905972045,6526.60616044965,554.128910728829,554.128910728829,1108.25782145766,1.16196670958142e-10,2.37171819827791e-12,-1.16157921434373e-10,-1.83809210556444e-12,1,0,0,0.408367901142078,1,1,1,0,0,0,0,1,24,0,1,1,5,ACCEPTED_SAME_PHYSICS_CONTINUATION,1.6624452,1.6624452,
5,2.57222,NEWTON_V2,4,29,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,0.898166700851227,36.1253714296351,9.73579077748525,9.73579077748525,5.65004275795957,58.8546120620789,1.82152445513422,-1.82152445513422,3.54467830069141,29005.5589268765,29005.5589268765,6520.70904636748,550.134630331932,550.134630331932,1100.26926066386,1.42271480776319e-10,-2.24756212966332e-12,1.42253093949451e-10,-4.24227024838459e-13,1,0,0,0.411453879379211,1,1,1,0,0,0,0,1,31,0,1,1,10,ACCEPTED_SAME_PHYSICS_CONTINUATION,3.0558953,3.0558953,
10,5.14444,NEWTON_V2,2,15,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,0.804354144625573,36.0127047917863,9.62312413963641,9.62312413963641,5.60984065472293,58.4358401533638,1.73537688960569,-1.73537688960569,3.37703553019461,28924.0599434461,28924.0599434461,6502.38734603878,539.434906189313,539.434906189313,1078.86981237863,7.46755176387757e-09,1.77260708771747e-09,-3.25174592032144e-09,-6.48446928656754e-09,1,0,0,0.415641598466362,1,1,1,0,0,0,0,1,17,0,1,1,15,ACCEPTED_SAME_PHYSICS_CONTINUATION,2.0812622,2.0812622,
15,7.71666,NEWTON_V2,4,29,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,0.648741197069467,35.834394395898,9.44481374374808,9.44481374374808,5.57371746702367,58.0595569481632,1.65796987781073,-1.65796987781073,3.22640183748871,28792.1770993061,28792.1770993061,6472.7389032347,522.606257108625,522.606257108625,1045.21251421725,1.47499049653985e-10,1.29248583088216e-12,-1.47328730285304e-10,6.96737839692452e-12,1,0,0,0.419404430518368,1,1,1,0,0,0,0,1,31,0,1,1,20,ACCEPTED_SAME_PHYSICS_CONTINUATION,4.1508648,4.1508648,
20,10.28888,NEWTON_V2,3,22,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,0.44123778366841,35.5985980026717,9.20901735052183,9.20901735052183,5.55064153952975,57.8191827034349,1.60852134612043,-1.60852134612043,3.13017521983907,28616.2181192174,28616.2181192174,6433.18175089204,500.68349912725,500.68349912725,1001.3669982545,1.6776229850961e-12,-3.98547600285927e-14,-1.66380093303977e-12,2.11179860407673e-13,1,0,0,0.421808172965651,1,1,1,0,0,0,0,1,24,0,1,1,25,ACCEPTED_SAME_PHYSICS_CONTINUATION,2.9558527,2.9558527,
25,12.8611,NEWTON_V2,3,22,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-0.00787445357156373,35.3227706490471,8.93318999689723,8.93318999689723,5.35708276036074,55.8029454204243,1.19375156370549,-1.19375156370549,2.32303511070427,28377.8992170397,28377.8992170397,6379.60553037281,475.442660387467,475.442660387467,950.885320774935,2.34077778836386e-12,4.28463639692185e-13,-1.63274767397517e-12,-1.62166414435542e-12,1,0,0,0.441970545795757,1,1,1,0,0,0,0,1,24,0,1,1,30,ACCEPTED_SAME_PHYSICS_CONTINUATION,2.1653031,2.1653031,
30,15.43332,NEWTON_V2,3,22,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-0.495860730742102,35.0282930655261,8.63871241337626,8.63871241337626,5.19143244884758,54.0774213421623,0.838785780400536,-0.838785780400536,1.63227331169441,28117.9474478687,28117.9474478687,6321.16604788857,449.109694813192,449.109694813192,898.219389626383,9.92082428260098e-14,1.84516233801696e-14,7.15356453755197e-14,-6.62152888687257e-14,1,0,0,0.459225786578377,1,1,1,0,0,0,0,1,24,0,1,1,35,ACCEPTED_SAME_PHYSICS_CONTINUATION,1.7303012,1.7303012,
35,18.00554,NEWTON_V2,3,22,0,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-0.995208339985235,34.7358031101043,8.34622245795438,8.34622245795438,5.07941339634274,52.9105562119036,0.598744392284589,-0.598744392284589,1.16515386274924,27847.3022655786,27847.3022655786,6260.3225905029,423.688549504701,423.688549504701,847.377099009401,8.8595947980846e-16,3.92880301930578e-18,8.80051876324495e-16,-1.02065955867015e-16,1,0,0,0.470894437880964,1,1,1,0,0,0,0,1,24,0,1,1,40,ACCEPTED_SAME_PHYSICS_CONTINUATION,1.6631952,1.6631952,
40,20.57776,FMINSEARCH_V1,0,0,393,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-1.49991111768958,34.4658271911524,8.07624653900254,8.07624653900254,5.02345985260713,52.3277067979909,0.478843661043147,-0.478843661043147,0.931827585371728,27573.9816412346,27573.9816412346,6198.87766981678,400.721214872437,400.721214872437,801.442429744874,1.55617655601019e-10,-1.39343728879988e-10,-6.50735501693655e-12,6.8977056238008e-11,1,0,0,0.476722932020091,1,1,1,2,0,0,0,1,393,0,1,1,40,ORIGINAL_ACCEPTED_BASELINE_NUMERICAL_SEED,106.4521098,106.4521098,
45,23.14998,FMINSEARCH_V1,0,0,424,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-2.14072729786992,34.2480147141775,7.8584340620276,7.8584340620276,4.88324474956719,50.8671328079915,0.178382023349189,-0.178382023349189,0.347130605695165,27307.1417503306,27307.1417503306,6138.8896759658,382.457462957473,382.457462957473,764.914925914945,3.3744589253997e-10,6.58561598732052e-11,-3.18678225091492e-10,8.93134113747115e-11,1,0,0,0.469418181459001,1,1,1,6,0,0,0,1,424,0,1,1,40,ACCEPTED_SAME_PHYSICS_CONTINUATION,132.4830943,132.4830943,
50,25.7222,FMINSEARCH_V1,0,0,334,1,NUMERICALLY_ACCEPTED_SOURCE_SUBSET,-2.74901491478696,34.0792896463176,7.6897089941677,7.6897089941677,4.8312864453509,50.3259004724052,0.067042539669036,-0.067042539669036,0.130464477113245,27063.4533810797,27063.4533810797,6084.10635122882,368.355383936891,368.355383936891,736.710767873781,1.59736326400464e-10,-8.16065268798451e-11,1.18852388836286e-10,-6.87762925028176e-11,1,0,0,0.460728358360186,1,1,1,6,0,0,0,1,334,0,1,1,45,ACCEPTED_SAME_PHYSICS_CONTINUATION,74.0191657,74.0191657,
